Game Number,Date,Home Team,Home Money Line,Home Spread,Home Score,Home W/L,Home Covered,Away Team,Away Money Line,Away Spread,Away Score,Away W/L,Away Covered,Total,Total Covered
1,2021-10-19,Milwaukee,100,0.0,127,W,Y,Brooklyn,-120,0.0,104,L,N,240.5,under
2,2021-10-19,Los Angeles Lakers,-210,-5.0,114,L,N,Golden State,175,5.0,121,W,Y,230.5,over
3,2021-10-20,Charlotte,-130,-2.0,123,W,N,Indiana,110,2.0,122,L,Y,228.5,over
4,2021-10-20,Detroit,125,2.5,88,L,N,Chicago,-145,-2.5,94,W,Y,220.5,under
5,2021-10-20,New York,-120,-1.0,138,W,Y,Boston,100,1.0,134,L,N,217.5,over
6,2021-10-20,Toronto,-155,-3.5,83,L,N,Washington,135,3.5,98,W,Y,220.0,under
7,2021-10-20,New Orleans,105,1.5,97,L,N,Philadelphia,-125,-1.5,117,W,Y,227.5,under
8,2021-10-20,Minnesota,-190,-4.5,124,W,Y,Houston,165,4.5,106,L,N,228.5,over
9,2021-10-20,Memphis,-350,-8.0,132,W,Y,Cleveland,275,8.0,121,L,N,217.5,over
10,2021-10-20,San Antonio,-210,-5.5,123,W,Y,Orlando,175,5.5,97,L,N,215.5,over
11,2021-10-20,Utah,-700,-11.5,107,W,Y,Oklahoma City,450,11.5,86,L,N,221.5,under
12,2021-10-20,Portland,-210,-5.5,121,L,N,Sacramento,175,5.5,124,W,Y,231.5,over
13,2021-10-20,Phoenix,-250,-6.5,98,L,N,Denver,210,6.5,110,W,Y,224.5,under
14,2021-10-21,Atlanta,-145,-2.5,113,W,Y,Dallas,125,2.5,87,L,N,224.5,under
15,2021-10-21,Miami,105,1.5,137,W,Y,Milwaukee,-125,-1.5,95,L,N,224.5,over
16,2021-10-21,Golden State,-141,-2.5,115,W,N,Los Angeles Clippers,116,2.5,113,L,Y,225.5,over
17,2021-10-22,Cleveland,135,3.0,112,L,N,Charlotte,-160,-3.0,123,W,Y,225.5,over
18,2021-10-22,Orlando,225,4.5,96,L,N,New York,-275,-4.5,121,W,Y,212.0,over
19,2021-10-22,Washington,-125,-2.0,135,W,N,Indiana,105,2.0,134,L,Y,229.0,over
20,2021-10-22,Boston,-270,-8.0,83,L,N,Toronto,220,8.0,115,W,Y,221.0,under
21,2021-10-22,Philadelphia,130,1.0,109,L,N,Brooklyn,-150,-1.0,114,W,Y,229.5,under
22,2021-10-22,Chicago,-275,-6.5,128,W,Y,New Orleans,225,6.5,112,L,N,224.0,over
23,2021-10-22,Houston,-125,-3.0,124,W,Y,Oklahoma City,105,3.0,91,L,N,225.5,under
24,2021-10-22,Denver,-300,-7.0,102,W,N,San Antonio,250,7.0,96,L,Y,218.0,under
25,2021-10-22,Los Angeles Lakers,-115,-2.5,105,L,N,Phoenix,-105,2.5,115,W,Y,226.0,under
26,2021-10-22,Sacramento,185,6.0,101,L,N,Utah,-225,-6.0,110,W,Y,226.0,under
27,2021-10-23,Cleveland,265,7.5,101,W,Y,Atlanta,-330,-7.5,95,L,N,222.5,under
28,2021-10-23,Indiana,140,3.5,102,W,Y,Miami,-165,-3.5,91,L,N,223.5,under
29,2021-10-23,Toronto,140,3.5,95,L,N,Dallas,-165,-3.5,103,W,Y,216.0,under
30,2021-10-23,Chicago,-420,-9.0,97,W,Y,Detroit,315,9.0,82,L,N,214.0,under
31,2021-10-23,Minnesota,-250,-6.5,96,W,Y,New Orleans,210,6.5,89,L,N,227.5,under
32,2021-10-23,San Antonio,260,7.5,111,L,N,Milwaukee,-320,-7.5,121,W,Y,223.5,over
33,2021-10-23,Portland,-140,-2.5,134,W,Y,Phoenix,120,2.5,105,L,N,232.5,over
34,2021-10-23,Los Angeles Clippers,-159,-4.0,114,L,N,Memphis,133,4.0,120,W,Y,226.0,over
35,2021-10-24,Brooklyn,-380,-8.5,95,L,N,Charlotte,290,8.5,111,W,Y,231.5,under
36,2021-10-24,New York,-750,-12.0,104,L,N,Orlando,500,12.0,110,W,Y,215.0,under
37,2021-10-24,Houston,185,6.0,97,L,N,Boston,-225,-6.0,107,W,Y,225.5,under
38,2021-10-24,Oklahoma City,275,7.5,103,L,N,Philadelphia,-350,-7.5,115,W,Y,216.5,over
39,2021-10-24,Sacramento,135,3.0,107,L,N,Golden State,-160,-3.0,119,W,Y,231.0,under
40,2021-10-24,Los Angeles Lakers,-250,-6.0,121,W,N,Memphis,210,6.0,118,L,Y,221.0,over
41,2021-10-25,Charlotte,-105,1.0,129,L,N,Boston,-115,-1.0,140,W,Y,224.0,over
42,2021-10-25,Indiana,130,3.0,109,L,N,Milwaukee,-150,-3.0,119,W,Y,229.0,under
43,2021-10-25,Atlanta,-625,-10.5,122,W,Y,Detroit,430,10.5,104,L,N,213.5,over
44,2021-10-25,Brooklyn,-330,-7.0,104,W,Y,Washington,265,7.0,90,L,N,233.5,under
45,2021-10-25,Miami,-1600,-14.0,107,W,Y,Orlando,800,14.0,90,L,N,213.5,under
46,2021-10-25,Toronto,120,2.5,108,L,N,Chicago,-140,-2.5,111,W,Y,212.0,over
47,2021-10-25,Minnesota,-220,-5.5,98,L,N,New Orleans,180,5.5,107,W,Y,224.5,under
48,2021-10-25,Denver,-655,-10.5,87,L,N,Cleveland,445,10.5,99,W,Y,220.5,under
49,2021-10-25,Los Angeles Clippers,-155,-3.5,116,W,Y,Portland,130,3.5,86,L,N,234.5,under
50,2021-10-26,New York,-120,-1.0,112,W,Y,Philadelphia,100,1.0,99,L,N,217.5,under
51,2021-10-26,Oklahoma City,340,9.0,98,L,Y,Golden State,-460,-9.0,106,W,N,224.0,under
52,2021-10-26,Dallas,-700,-11.0,116,W,N,Houston,475,11.0,106,L,Y,220.5,over
53,2021-10-26,San Antonio,165,4.5,121,L,Y,Los Angeles Lakers,-195,-4.5,125,W,N,220.0,over
54,2021-10-26,Utah,-320,-7.0,122,W,Y,Denver,260,7.0,110,L,N,219.0,over
55,2021-10-27,Orlando,200,6.0,111,L,N,Charlotte,-240,-6.0,120,W,Y,217.0,over
56,2021-10-27,Boston,-180,-4.5,107,L,N,Washington,155,4.5,116,W,Y,227.5,under
57,2021-10-27,Brooklyn,-200,-5.0,93,L,N,Miami,170,5.0,106,W,Y,219.0,under
58,2021-10-27,Toronto,100,1.0,118,W,Y,Indiana,-120,-1.0,100,L,N,218.5,under
59,2021-10-27,New Orleans,200,6.0,99,L,Y,Atlanta,-240,-6.0,102,W,N,221.0,under
60,2021-10-27,Milwaukee,-275,-6.0,108,L,N,Minnesota,225,6.0,113,W,Y,228.5,under
61,2021-10-27,Oklahoma City,300,8.0,123,W,Y,Los Angeles Lakers,-395,-8.0,115,L,N,220.5,over
62,2021-10-27,Phoenix,-370,-8.5,107,L,N,Sacramento,285,8.5,110,W,Y,227.0,under
63,2021-10-27,Portland,-135,-2.5,116,W,Y,Memphis,115,2.5,96,L,N,235.5,under
64,2021-10-27,Los Angeles Clippers,-335,-8.0,79,L,N,Cleveland,265,8.0,92,W,Y,217.0,under
65,2021-10-28,Philadelphia,-565,-10.5,110,W,N,Detroit,400,10.5,102,L,Y,217.5,under
66,2021-10-28,Washington,105,1.5,122,W,Y,Atlanta,-125,-1.5,111,L,N,222.0,over
67,2021-10-28,Chicago,-125,-2.0,103,L,N,New York,105,2.0,104,W,Y,216.0,under
68,2021-10-28,Houston,315,9.0,91,L,N,Utah,-420,-9.0,122,W,Y,223.5,under
69,2021-10-28,Dallas,-270,-6.0,104,W,N,San Antonio,220,6.0,99,L,Y,221.5,under
70,2021-10-28,Golden State,-220,-5.0,101,L,N,Memphis,180,5.0,104,W,Y,233.0,under
71,2021-10-29,Toronto,-350,-8.0,110,W,N,Orlando,275,8.0,109,L,Y,210.0,over
72,2021-10-29,Brooklyn,-420,-8.0,105,W,N,Indiana,315,8.0,98,L,Y,223.0,under
73,2021-10-29,Miami,-230,-5.5,114,W,Y,Charlotte,190,5.5,99,L,N,220.5,under
74,2021-10-29,New Orleans,110,2.0,109,L,N,Sacramento,-130,-2.0,113,W,Y,220.0,over
75,2021-10-29,Denver,-140,-1.5,106,W,Y,Dallas,120,1.5,75,L,N,219.5,under
76,2021-10-29,Portland,-137,-2.5,111,W,Y,Los Angeles Clippers,116,2.5,92,L,N,223.0,under
77,2021-10-29,Los Angeles Lakers,-395,-8.0,113,W,Y,Cleveland,300,8.0,101,L,N,219.5,under
78,2021-10-30,Washington,-140,-2.0,115,W,Y,Boston,120,2.0,112,L,N,225.0,over
79,2021-10-30,Detroit,-200,-5.0,110,W,Y,Orlando,170,5.0,103,L,N,205.5,over
80,2021-10-30,New Orleans,175,5.5,117,L,N,New York,-210,-5.5,123,W,Y,216.0,over
81,2021-10-30,Indiana,-165,-3.5,94,L,N,Toronto,140,3.5,97,W,Y,214.5,under
82,2021-10-30,Philadelphia,-160,-3.0,122,W,Y,Atlanta,135,3.0,94,L,N,217.5,under
83,2021-10-30,Chicago,150,4.0,107,W,Y,Utah,-175,-4.0,99,L,N,217.0,under
84,2021-10-30,Milwaukee,-300,-7.0,93,L,N,San Antonio,250,7.0,102,W,Y,224.5,under
85,2021-10-30,Memphis,-135,-2.0,103,L,N,Miami,115,2.0,129,W,Y,217.5,over
86,2021-10-30,Golden State,-1100,-12.5,103,W,Y,Oklahoma City,650,12.5,82,L,N,220.0,under
87,2021-10-30,Minnesota,-140,-2.5,91,L,N,Denver,120,2.5,93,W,Y,222.0,under
88,2021-10-30,Phoenix,-480,-10.0,101,W,N,Cleveland,350,10.0,92,L,Y,217.5,under
89,2021-10-31,Dallas,-180,-4.5,105,W,Y,Sacramento,155,4.5,99,L,N,219.0,under
90,2021-10-31,Charlotte,105,1.0,125,W,Y,Portland,-125,-1.0,113,L,N,230.0,over
91,2021-10-31,Milwaukee,-105,-1.0,95,L,N,Utah,-115,1.0,107,W,Y,224.0,under
92,2021-10-31,Brooklyn,-950,-13.0,117,W,Y,Detroit,600,13.0,91,L,N,215.0,under
93,2021-10-31,Los Angeles Lakers,-700,-12.5,95,W,N,Houston,475,12.5,85,L,Y,224.0,under
94,2021-11-01,Charlotte,-200,-4.5,110,L,N,Cleveland,170,4.5,113,W,Y,224.0,under
95,2021-11-01,Indiana,-150,-3.5,131,W,Y,San Antonio,130,3.5,118,L,N,219.0,over
96,2021-11-01,Philadelphia,-130,-6.0,113,W,Y,Portland,110,6.0,103,L,N,220.5,under
97,2021-11-01,Atlanta,-210,-6.0,118,W,Y,Washington,175,6.0,111,L,N,223.0,over
98,2021-11-01,Boston,-135,-2.5,114,L,N,Chicago,115,2.5,128,W,Y,217.5,over
99,2021-11-01,New York,-250,-6.5,104,L,N,Toronto,210,6.5,113,W,Y,212.5,over
100,2021-11-01,Minnesota,-415,-9.0,97,L,N,Orlando,310,9.0,115,W,Y,214.5,under
101,2021-11-01,Memphis,-125,-1.5,106,W,Y,Denver,105,1.5,97,L,N,216.0,under
102,2021-11-01,Los Angeles Clippers,-625,-10.5,99,W,N,Oklahoma City,450,10.5,94,L,Y,213.0,under
