,Date,Trae Young,John Collins,De'Andre Hunter,Kevin Huerter,Bogdan Bogdanovic,Chaundee Brown Jr.,Clint Capela,Wes Iwundu,Danilo Gallinari,Cam Reddish,Cameron Oliver,Onyeka Okongwu,Delon Wright,Malcolm Hill,Lou Williams,Timothe Luwawu-Cabarrot,Lance Stephenson,Solomon Hill,Gorgui Dieng,Skylar Mays,Kevin Knox,Jalen Johnson,Cat Barber,Sharife Cooper,Malik Ellison,Justin Tillman,Chris Clemons
0,2021-10-21,32.68,30.0,28.72,21.67,26.08,0.0,20.55,0.0,0.0,21.28,0.0,0.0,15.32,0.0,0.0,3.53,0.0,15.1,14.47,3.53,0.0,3.53,0.0,3.53,0.0,0.0,0.0
1,2021-10-23,35.45,26.6,30.02,21.55,27.22,0.0,27.3,0.0,0.0,27.63,0.0,0.0,12.55,0.0,0.0,0.0,0.0,12.9,18.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-10-25,32.07,23.93,0.0,27.33,25.02,0.0,25.9,0.0,0.0,27.27,0.0,0.0,18.47,0.0,17.27,3.18,0.0,14.27,15.75,3.18,0.0,3.18,0.0,3.18,0.0,0.0,0.0
3,2021-10-27,36.3,25.03,29.37,23.85,31.08,0.0,29.02,0.0,19.63,23.83,0.0,0.0,11.7,0.0,0.0,0.0,0.0,0.0,10.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-10-28,34.77,38.3,30.75,14.38,33.62,0.0,23.35,0.0,18.05,26.93,0.0,0.0,5.52,0.0,7.72,0.0,0.0,0.0,6.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-10-30,31.72,30.6,23.0,13.42,29.37,0.0,27.97,0.0,12.18,19.78,0.0,0.0,5.22,0.0,11.07,5.22,0.0,0.0,20.03,5.22,0.0,5.22,0.0,0.0,0.0,0.0,0.0
6,2021-11-01,36.05,31.35,27.13,0.0,34.4,0.0,33.03,0.0,16.65,27.03,0.0,0.0,11.95,0.0,12.55,0.0,0.0,0.0,9.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-11-03,36.77,36.65,32.9,23.27,29.28,0.0,32.57,0.0,15.57,18.75,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-11-04,34.18,30.5,31.33,16.45,29.82,0.0,35.9,0.0,17.28,13.82,0.0,0.0,2.85,0.0,10.97,2.85,0.0,0.0,8.35,2.85,0.0,2.85,0.0,0.0,0.0,0.0,0.0
9,2021-11-06,39.23,34.52,28.75,18.77,29.23,0.0,28.43,0.0,22.65,26.42,0.0,0.0,0.0,0.0,8.77,0.0,0.0,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2021-11-08,32.1,30.8,22.68,25.07,31.4,0.0,23.33,0.0,22.22,13.47,0.0,0.0,15.9,0.0,0.0,5.0,0.0,13.03,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2021-11-09,35.22,35.23,0.0,39.22,0.0,0.0,34.52,0.0,6.7,30.47,0.0,0.0,10.92,0.0,9.73,5.22,0.0,22.08,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2021-11-12,32.43,39.45,21.48,30.48,29.77,0.0,32.45,0.0,17.42,18.75,0.0,0.0,15.57,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2021-11-14,31.97,31.12,0.0,33.35,29.73,0.0,31.68,0.0,25.6,16.78,0.0,0.0,12.67,0.0,14.02,2.3,0.0,1.25,3.73,1.93,0.0,1.93,0.0,1.93,0.0,0.0,0.0
14,2021-11-15,30.42,31.2,0.0,16.0,29.4,0.0,34.32,0.0,28.38,25.08,0.0,0.0,16.53,0.0,15.6,1.05,0.0,8.87,0.0,1.05,0.0,1.05,0.0,1.05,0.0,0.0,0.0
15,2021-11-17,35.08,34.17,0.0,31.82,31.62,0.0,31.78,0.0,20.2,26.95,0.0,0.0,12.92,0.0,13.17,0.28,0.0,0.0,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2021-12-01,37.1,34.13,0.0,34.27,0.0,0.0,32.6,0.0,29.27,0.0,0.0,0.0,17.7,0.0,15.95,25.17,0.0,13.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2021-12-03,36.0,32.52,0.0,31.37,0.0,0.0,30.2,0.0,28.1,0.0,0.0,0.0,29.0,0.0,16.67,18.37,0.0,12.92,4.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2021-11-20,34.4,33.23,0.0,33.63,23.52,0.0,23.93,0.0,31.52,26.78,0.0,0.0,13.6,0.0,12.07,0.08,0.0,0.0,7.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2021-12-05,36.43,37.65,0.0,33.57,0.0,0.0,31.22,0.0,27.13,0.0,0.0,0.0,15.32,0.0,15.83,38.72,0.0,4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2021-11-22,31.92,34.9,0.0,29.6,27.17,0.0,29.58,0.0,25.02,22.98,0.0,0.0,14.63,0.0,16.95,1.45,0.0,0.0,1.45,1.45,0.0,1.45,0.0,1.45,0.0,0.0,0.0
21,2021-12-06,35.9,28.38,0.0,38.15,0.0,0.0,30.47,0.0,23.73,0.0,0.0,0.0,16.62,0.0,15.63,37.7,0.0,0.0,13.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2021-11-24,30.12,34.18,0.0,25.97,29.7,0.0,32.33,0.0,22.23,22.17,0.0,0.0,17.88,0.0,13.93,4.23,0.0,3.35,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2021-11-26,27.4,23.23,0.0,25.48,25.9,0.0,29.4,0.0,21.08,28.35,0.0,0.0,20.6,0.0,15.35,5.6,0.0,5.6,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2021-12-10,35.72,37.62,0.0,34.75,0.0,0.0,34.02,0.0,23.73,17.47,0.0,0.0,12.28,0.0,13.25,31.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
