,Date,Jayson Tatum,Jaylen Brown,Marcus Smart,Robert Williams,Dennis Schroder,Al Horford,Derrick White,Josh Richardson,Grant Williams,Daniel Theis,Romeo Langford,Payton Pritchard,Enes Freedom,Aaron Nesmith,Jabari Parker,Luke Kornet,Sam Hauser,Juancho Hernangomez,Matt Ryan,Brodric Thomas,Juwan Morgan,Malik Fitts,Bruno Fernando,Nik Stauskas,C.J. Miles,Kelan Martin,Joe Johnson,Justin Jackson,Dennis Schröder,Juancho Hernangómez,Al-Farouq Aminu,Norvel Pelle
0,2021-10-20,44.62,45.97,45.92,44.82,0.0,0.0,0.0,0.0,31.48,0.0,22.6,11.28,0.0,11.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0
1,2021-10-22,30.33,28.4,29.0,28.48,0.0,24.55,0.0,20.75,10.38,0.0,16.2,15.93,5.28,3.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.72,3.98,0.0,0.0
2,2021-10-24,36.9,0.0,35.68,27.7,0.0,29.58,0.0,18.88,30.57,0.0,0.0,15.7,0.0,11.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.38,0.0,0.0,0.0
3,2021-10-25,41.47,37.98,38.47,35.98,0.0,0.0,0.0,14.82,24.95,0.0,0.0,13.83,0.0,0.0,17.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.13,4.35,0.0,0.0
4,2021-10-27,35.67,37.35,35.92,30.48,0.0,26.15,0.0,15.45,15.67,0.0,0.0,0.0,0.0,0.0,9.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.3,0.0,0.0,0.0
5,2021-10-30,45.82,47.38,0.0,0.0,0.0,40.93,0.0,36.82,24.15,0.0,17.6,18.35,4.53,0.0,12.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.38,0.0,0.0,0.0
6,2021-11-01,36.25,33.58,33.17,24.17,0.0,32.98,0.0,24.6,12.43,0.0,11.37,7.3,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,21.05,1.03,0.0,0.0
7,2021-11-03,33.92,31.8,32.78,30.1,0.0,26.45,0.0,18.2,7.18,0.0,16.52,9.68,0.0,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48,0.0,0.0,0.0,0.0,0.0,26.43,1.97,0.0,0.0
8,2021-11-04,29.4,29.28,30.03,23.93,0.0,29.47,0.0,0.0,12.37,0.0,27.4,2.52,0.0,18.3,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52,0.0,0.0,0.0,0.0,0.0,29.82,2.52,0.0,0.0
9,2021-11-06,38.45,0.0,36.33,33.38,0.0,26.05,0.0,30.58,4.88,0.0,0.0,10.75,0.0,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.77,0.0,0.0,0.0
