,Date,Kyrie Irving,Kevin Durant,James Harden,Joe Harris,Seth Curry,Patty Mills,Goran Dragic,Bruce Brown,LaMarcus Aldridge,Andre Drummond,Nic Claxton,Kessler Edwards,DeAndre' Bembry,James Johnson,Cam Thomas,Blake Griffin,David Duke Jr.,Langston Galloway,Day'Ron Sharpe,Jevon Carter,Shaquille Harrison,Paul Millsap,James Ennis III,Wenyen Gabriel,Goran Dragić
0,2021-10-19,0.0,30.25,30.63,30.77,0.0,29.37,0.0,3.75,15.7,0.0,24.17,0.0,3.75,20.72,3.75,22.98,0.0,0.0,0.0,18.95,0.0,5.22,0.0,0.0,0.0
1,2021-10-22,0.0,36.9,38.42,33.03,0.0,30.13,0.0,0.0,22.67,0.0,16.83,0.0,0.0,3.43,0.0,19.02,0.0,0.0,0.0,23.05,0.0,16.5,0.0,0.0,0.0
2,2021-10-24,0.0,36.13,33.15,27.77,0.0,31.9,0.0,27.18,21.83,0.0,18.32,0.0,1.48,5.17,1.48,0.0,0.0,0.0,1.48,25.75,0.0,8.35,0.0,0.0,0.0
3,2021-10-25,0.0,34.73,30.42,30.37,0.0,23.0,0.0,30.3,0.0,0.0,16.27,0.0,18.02,6.8,4.05,18.97,0.0,0.0,4.05,13.83,0.0,9.2,0.0,0.0,0.0
4,2021-10-27,0.0,37.23,35.6,33.52,0.0,31.13,0.0,34.67,11.7,0.0,0.0,0.0,13.15,0.0,1.57,18.57,0.0,0.0,1.57,5.88,0.0,15.4,0.0,0.0,0.0
5,2021-10-29,0.0,37.37,35.03,30.75,0.0,19.77,0.0,24.57,28.07,0.0,0.0,0.0,12.97,0.0,0.0,19.93,0.0,0.0,0.0,18.05,0.0,13.5,0.0,0.0,0.0
6,2021-10-31,0.0,27.33,29.37,25.9,0.0,19.87,0.0,22.62,21.03,0.0,0.0,0.0,23.72,20.1,5.82,20.32,0.0,0.0,6.65,17.28,0.0,0.0,0.0,0.0,0.0
7,2021-11-03,0.0,35.92,35.57,34.47,0.0,21.97,0.0,30.85,17.18,0.0,0.0,0.0,14.75,0.0,0.0,30.82,0.0,0.0,0.0,6.4,0.0,12.08,0.0,0.0,0.0
8,2021-11-05,0.0,36.5,36.48,33.42,0.0,21.5,0.0,26.2,20.7,0.0,0.0,0.0,16.37,0.0,0.0,27.3,0.0,0.0,0.0,10.03,0.0,11.5,0.0,0.0,0.0
9,2021-11-07,0.0,36.88,38.57,32.22,0.0,24.52,0.0,33.02,17.5,0.0,0.0,0.0,21.02,0.0,0.0,27.6,0.0,0.0,0.0,3.58,0.0,5.1,0.0,0.0,0.0
