,Date,DeMar DeRozan,Zach LaVine,Lonzo Ball,Nikola Vucevic,Alex Caruso,Coby White,Ayo Dosunmu,Patrick Williams,Javonte Green,Derrick Jones Jr.,Tristan Thompson,Troy Brown Jr.,Alfonzo McKinnie,Matt Thomas,Malcolm Hill,Tyler Cook,Tony Bradley,Devon Dotson,Alize Johnson,Marko Simonovic,Mac McClung,Jordan Bell,Nikola Vučević,Ersan İlyasova
0,2021-10-20,37.77,35.33,33.37,0.0,27.13,0.0,11.2,28.43,14.82,0.0,0.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0.0,35.88,0.0
1,2021-10-22,31.6,31.52,35.13,0.0,28.82,0.0,2.43,24.42,17.2,2.43,0.0,16.02,0.0,2.43,0.0,0.0,2.43,0.0,14.23,0.0,0.0,0.0,31.33,0.0
2,2021-10-23,33.88,33.1,37.75,0.0,26.52,0.0,11.4,29.55,18.25,0.0,0.0,10.93,0.0,0.0,0.0,0.0,0.0,0.0,5.52,0.0,0.0,0.0,33.1,0.0
3,2021-10-25,35.82,35.33,38.05,0.0,27.72,0.0,0.0,25.85,12.95,0.0,0.0,16.73,0.0,0.0,0.0,0.0,0.0,0.0,13.57,0.0,0.0,0.0,33.98,0.0
4,2021-10-28,34.87,34.92,33.38,0.0,32.9,0.0,9.1,16.38,16.03,0.0,0.0,17.43,0.0,0.0,0.0,0.0,5.95,0.0,3.43,0.0,0.0,0.0,35.6,0.0
5,2021-10-30,35.1,34.45,33.22,0.0,24.98,0.0,20.65,0.0,22.03,18.95,0.0,2.72,0.0,0.0,0.0,0.0,13.6,0.0,0.0,0.0,0.0,0.0,34.3,0.0
6,2021-11-01,33.67,38.4,32.4,0.0,23.28,0.0,21.82,0.0,21.77,21.15,0.0,0.0,0.0,0.0,0.0,0.0,12.95,0.0,0.0,0.0,0.0,0.0,34.57,0.0
7,2021-11-03,36.2,37.98,32.83,0.0,31.92,0.0,13.1,0.0,23.33,16.63,0.0,0.0,0.0,0.0,0.0,0.0,11.97,0.0,0.0,0.0,0.0,0.0,36.03,0.0
8,2021-11-06,35.25,38.05,38.0,0.0,32.22,0.0,12.67,0.0,18.22,17.6,0.0,0.0,0.0,0.0,0.0,0.0,12.33,0.0,0.0,0.0,0.0,0.0,35.67,0.0
9,2021-11-08,34.68,33.38,30.28,0.0,23.95,0.0,19.6,0.0,28.9,17.02,0.0,2.08,0.0,2.08,0.0,0.0,14.63,0.0,0.33,0.0,0.0,0.0,33.02,0.0
10,2021-11-10,36.65,31.78,38.63,0.0,22.73,0.0,18.85,0.0,21.2,19.77,0.0,0.68,0.0,1.02,0.0,0.0,6.18,0.0,10.33,0.0,0.0,0.0,32.17,0.0
11,2021-11-12,35.78,34.45,36.67,0.0,24.75,0.0,16.28,0.0,16.18,20.5,0.0,4.3,0.0,4.3,0.0,12.0,13.6,0.0,21.18,0.0,0.0,0.0,0.0,0.0
12,2021-11-14,37.75,37.95,33.92,0.0,38.67,0.0,18.6,0.0,22.22,18.0,0.0,9.15,0.0,0.0,0.0,0.0,23.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2021-11-15,35.12,34.13,37.58,0.0,34.45,10.95,20.87,0.0,14.0,16.28,0.0,3.13,0.0,3.13,0.0,0.0,27.22,0.0,3.13,0.0,0.0,0.0,0.0,0.0
14,2021-11-17,36.43,37.37,37.37,0.0,37.6,10.48,17.03,0.0,20.2,20.3,0.0,0.0,0.0,0.0,0.0,0.0,21.32,0.0,1.9,0.0,0.0,0.0,0.0,0.0
15,2021-12-02,37.8,34.98,34.02,0.0,30.5,0.0,16.98,0.0,28.95,13.82,0.0,9.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.83,0.0
16,2021-11-19,36.37,36.82,37.88,0.0,34.3,10.88,22.63,0.0,22.35,23.53,0.0,0.0,0.0,0.0,0.0,0.0,15.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2021-12-04,38.43,37.42,39.87,0.0,7.98,0.0,23.08,0.0,0.0,32.57,0.0,12.85,0.0,0.0,0.0,0.0,6.5,0.0,6.63,0.0,0.0,0.0,34.67,0.0
18,2021-11-21,37.68,36.17,35.57,0.0,30.03,20.98,19.88,0.0,15.92,21.52,0.0,0.0,0.0,0.0,0.0,0.0,18.15,0.0,4.1,0.0,0.0,0.0,0.0,0.0
19,2021-11-22,26.53,26.38,25.1,0.0,0.0,24.65,23.83,0.0,16.4,18.68,0.0,30.37,0.0,12.0,0.0,0.0,17.32,6.73,5.27,6.73,0.0,0.0,0.0,0.0
20,2021-12-06,0.0,38.68,39.67,0.0,0.0,0.0,41.88,0.0,0.0,27.82,0.0,23.53,0.0,19.15,0.0,0.0,12.3,1.27,0.0,0.82,0.0,0.0,34.88,0.0
21,2021-12-08,0.0,35.2,39.37,0.0,0.0,0.0,34.08,0.0,0.0,28.05,0.0,26.63,0.0,0.0,0.0,0.0,14.83,19.35,11.88,0.0,0.0,0.0,30.6,0.0
22,2021-11-24,36.05,36.1,37.18,0.0,32.82,14.7,17.33,0.0,26.83,11.02,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,26.05,0.0
23,2021-11-26,28.15,28.5,31.38,0.0,25.25,23.88,18.45,0.0,23.35,10.07,0.0,5.9,0.0,4.58,0.0,0.0,3.55,5.9,2.35,0.0,0.0,0.0,28.68,0.0
24,2021-12-11,0.0,37.72,39.8,0.0,27.42,0.0,0.0,0.0,0.0,0.0,0.0,34.02,29.02,0.0,0.0,4.73,9.38,14.57,4.73,4.73,0.0,0.0,33.88,0.0
25,2021-11-27,40.53,36.77,36.7,0.0,34.12,19.55,9.12,0.0,17.2,16.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.77,0.0
26,2021-11-29,34.05,35.07,32.63,0.0,25.08,21.62,5.75,0.0,35.87,14.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.4,0.0
27,2021-12-19,34.32,0.0,38.07,0.0,37.77,24.45,0.0,0.0,34.68,5.53,0.0,0.0,17.18,0.0,0.0,2.32,10.95,0.0,0.0,0.0,0.0,0.0,34.73,0.0
28,2021-12-20,32.3,0.0,34.93,0.0,6.07,31.77,0.0,0.0,26.67,0.0,0.0,0.0,29.13,0.0,0.0,16.87,14.93,14.27,0.0,2.88,0.0,0.0,30.18,0.0
29,2021-12-26,35.93,33.08,0.0,0.0,0.0,33.28,23.4,0.0,28.2,0.0,0.0,19.07,0.0,19.03,0.0,14.92,0.0,0.0,0.0,0.0,0.0,0.0,33.08,0.0
30,2021-12-27,37.8,37.28,0.0,0.0,0.0,25.02,24.7,0.0,29.37,0.0,0.0,18.65,0.0,19.18,0.0,13.85,0.0,0.0,0.0,0.0,0.0,0.0,34.15,0.0
31,2021-12-29,35.7,31.88,0.0,0.0,0.0,35.18,19.52,0.0,23.12,4.5,0.0,23.3,0.0,16.25,0.0,12.32,0.0,3.05,0.0,0.0,2.55,0.0,32.63,0.0
32,2021-12-31,35.1,35.95,0.0,0.0,0.0,33.48,21.53,0.0,27.5,14.33,0.0,4.17,0.0,19.92,0.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,34.1,0.0
33,2022-01-01,35.25,37.88,0.0,0.0,0.0,37.82,21.43,0.0,0.0,27.57,0.0,29.67,0.0,12.25,0.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,35.48,0.0
34,2022-01-03,35.83,34.37,32.18,0.0,0.0,34.6,19.25,0.0,0.0,21.05,0.0,19.7,7.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.55,0.0
35,2022-01-07,31.12,33.17,34.75,0.0,0.0,31.82,31.08,0.0,0.0,16.03,0.0,13.58,1.08,0.0,0.0,0.0,10.82,0.0,0.0,1.08,0.0,2.02,33.45,0.0
36,2022-01-09,33.45,34.53,32.28,0.0,0.0,27.37,23.32,0.0,0.0,23.82,0.0,13.33,2.35,2.35,0.0,0.0,10.58,2.35,0.0,0.0,0.0,0.0,34.25,0.0
37,2022-01-11,26.58,29.08,27.27,0.0,0.0,23.03,27.17,0.0,0.0,13.35,0.0,24.53,12.12,7.33,0.0,0.0,10.2,6.1,0.0,6.1,0.0,0.0,27.13,0.0
38,2022-01-12,32.13,32.87,31.55,0.0,0.0,25.07,23.35,0.0,0.0,0.6,0.0,15.62,19.62,7.2,0.0,0.0,14.35,4.0,0.0,2.78,0.0,0.0,30.87,0.0
39,2022-01-14,29.05,3.53,23.6,0.0,0.0,28.63,31.8,0.0,0.0,0.0,0.0,27.17,19.42,18.38,0.0,0.0,14.53,7.6,0.0,6.55,0.0,0.0,29.73,0.0
40,2022-01-15,37.2,0.0,0.0,0.0,0.0,39.47,39.57,0.0,0.0,0.0,0.0,13.07,27.18,17.43,18.08,0.0,12.55,0.0,0.0,0.0,0.0,0.0,35.45,0.0
41,2022-01-17,32.53,0.0,0.0,0.0,0.0,31.67,38.32,0.0,0.0,0.0,0.0,20.98,15.43,23.48,29.58,0.0,14.25,0.0,0.0,3.5,0.0,0.0,30.25,0.0
42,2022-01-19,36.18,0.0,0.0,0.0,22.92,37.83,38.58,0.0,0.0,0.0,0.0,26.15,5.18,23.6,1.55,0.0,10.98,0.0,0.0,0.0,0.0,0.0,37.02,0.0
43,2022-01-21,38.45,0.0,0.0,0.0,23.57,36.98,39.38,0.0,0.0,0.0,0.0,19.4,0.0,19.23,2.23,25.53,0.0,0.0,0.0,0.0,0.0,0.0,35.17,0.0
44,2022-01-23,38.27,0.0,0.0,0.0,0.0,35.3,40.03,0.0,0.0,0.0,0.0,30.37,4.07,20.27,7.98,27.23,6.17,0.0,0.0,0.0,0.0,0.0,30.32,0.0
45,2022-01-24,0.0,35.02,0.0,0.0,0.0,31.2,34.7,0.0,24.57,0.0,0.0,31.3,10.83,7.15,17.22,7.85,1.48,0.0,0.0,0.0,0.0,0.0,38.65,0.0
46,2022-01-26,37.25,37.9,0.0,0.0,0.0,24.08,38.13,0.0,23.88,0.0,0.0,22.43,0.0,8.35,0.0,13.08,0.0,0.0,0.0,0.0,0.0,0.0,34.88,0.0
47,2022-01-28,36.62,34.88,0.0,0.0,0.0,29.3,35.88,0.0,22.72,0.0,0.0,22.9,0.0,9.7,0.0,8.82,2.6,0.0,0.0,0.0,0.0,0.0,36.58,0.0
48,2022-01-30,34.32,32.73,0.0,0.0,0.0,30.82,33.63,0.0,23.55,0.0,0.0,17.68,1.17,16.93,1.17,0.0,15.98,0.0,0.0,0.0,0.0,0.0,32.02,0.0
49,2022-02-01,37.38,35.65,0.0,0.0,0.0,28.85,36.02,0.0,25.97,0.0,0.0,15.77,0.0,12.37,0.0,8.47,4.1,0.0,0.0,0.0,0.0,0.0,35.43,0.0
50,2022-02-03,44.6,42.13,0.0,0.0,0.0,22.87,42.3,0.0,33.2,0.0,0.0,16.2,0.0,10.7,0.0,3.28,10.72,0.0,0.0,0.0,0.0,0.0,39.0,0.0
51,2022-02-04,38.62,0.0,0.0,0.0,0.0,0.0,37.23,0.0,34.98,0.0,0.0,35.28,0.0,27.02,18.87,3.15,7.97,0.0,0.0,0.0,0.0,0.0,36.88,0.0
52,2022-02-06,41.0,0.0,0.0,0.0,0.0,0.0,37.53,0.0,31.72,0.0,0.0,22.18,3.38,34.4,21.78,0.0,12.47,0.0,0.0,0.0,0.0,0.0,35.53,0.0
53,2022-02-07,35.6,37.08,0.0,0.0,0.0,25.62,32.8,0.0,23.77,0.0,0.0,21.75,1.68,12.02,1.68,1.22,12.97,0.0,0.0,0.0,0.0,0.0,33.82,0.0
54,2022-02-09,37.77,40.32,0.0,0.0,0.0,38.12,0.0,0.0,33.88,0.0,0.0,27.83,0.0,4.12,9.95,0.0,10.23,0.0,0.0,0.0,0.0,0.0,37.75,0.0
55,2022-02-11,38.02,36.73,0.0,0.0,0.0,28.77,41.97,0.0,31.38,0.0,0.0,10.85,0.0,0.0,4.28,0.0,12.82,0.0,0.0,0.0,0.0,0.0,35.18,0.0
56,2022-02-12,39.8,0.0,0.0,0.0,0.0,37.03,41.72,0.0,0.0,22.9,0.0,27.57,0.0,13.87,15.67,3.83,1.28,0.0,0.0,0.0,0.0,0.0,36.32,0.0
57,2022-02-14,34.9,0.0,0.0,0.0,0.0,34.25,37.4,0.0,34.78,22.02,0.0,30.63,0.0,6.18,0.0,0.0,3.77,0.0,0.0,0.0,0.0,0.0,36.07,0.0
58,2022-02-16,40.98,0.0,0.0,0.0,0.0,39.63,40.03,0.0,28.83,16.33,0.0,16.92,0.0,10.58,0.0,0.0,8.48,0.0,0.0,0.0,0.0,0.0,38.2,0.0
59,2022-02-24,37.08,35.85,0.0,0.0,0.0,19.73,34.2,0.0,27.65,20.42,13.23,17.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7,0.0
60,2022-02-26,41.73,38.0,0.0,0.0,0.0,35.22,22.35,0.0,28.65,19.45,16.35,6.7,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.47,0.0
61,2022-02-28,33.58,32.8,0.0,0.0,0.0,30.92,35.97,0.0,20.95,20.1,16.43,13.43,0.0,3.3,0.95,0.0,5.87,0.0,0.0,0.0,0.0,0.0,25.7,0.0
62,2022-03-03,38.67,34.48,0.0,0.0,0.0,26.5,35.53,0.0,20.8,12.63,21.0,14.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.6,0.0
63,2022-03-04,39.43,38.32,0.0,0.0,0.0,23.48,35.25,0.0,24.37,16.48,20.1,8.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.42,0.0
64,2022-03-07,39.27,37.1,0.0,0.0,0.0,34.03,31.32,0.0,36.45,21.2,29.07,5.85,0.0,0.0,0.0,0.0,5.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
