,Date,Miles Bridges,Terry Rozier,LaMelo Ball,Gordon Hayward,P.J. Washington,Cody Martin,Kelly Oubre Jr.,Mason Plumlee,Montrezl Harrell,Jalen McDaniels,Ish Smith,Isaiah Thomas,James Bouknight,JT Thor,Nick Richards,Vernon Carey Jr.,Scottie Lewis,Kai Jones,Arnoldas Kulboka
0,2021-10-20,32.95,0.0,28.95,35.25,19.45,23.63,34.97,32.45,0.0,10.9,21.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-10-22,34.78,22.82,28.88,34.58,24.3,21.62,27.08,22.15,0.0,1.17,17.95,0.0,1.17,1.17,1.17,0.0,0.0,1.17,0.0
2,2021-10-24,35.2,0.0,26.05,32.8,25.8,32.45,22.88,28.0,0.0,11.73,21.17,0.0,0.78,0.78,0.78,0.78,0.0,0.78,0.0
3,2021-10-25,38.27,0.0,32.97,37.68,0.0,17.65,42.83,36.8,0.0,22.0,23.25,0.0,0.0,0.0,13.55,0.0,0.0,0.0,0.0
4,2021-10-27,35.05,0.0,24.28,37.23,0.0,29.67,27.85,32.45,0.0,22.18,23.72,0.0,0.0,0.0,7.57,0.0,0.0,0.0,0.0
5,2021-10-29,37.4,0.0,30.2,37.32,22.4,29.22,36.28,18.27,0.0,11.22,17.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-10-31,34.37,33.18,33.17,29.3,21.37,15.48,31.67,26.63,0.0,0.0,14.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-11-01,35.95,33.98,34.15,28.87,17.08,27.08,20.78,26.43,0.0,0.0,11.38,0.0,0.0,0.0,4.25,0.0,0.0,0.0,0.0
8,2021-11-03,37.58,34.78,33.55,37.38,17.37,25.32,13.42,20.07,0.0,2.38,14.45,0.0,1.85,0.0,1.85,0.0,0.0,0.0,0.0
9,2021-11-05,37.1,30.9,30.7,34.7,0.0,20.07,13.82,21.85,0.0,14.67,12.05,0.0,3.52,0.0,18.7,0.0,0.0,1.93,0.0
10,2021-11-07,36.68,32.7,31.58,35.78,0.0,30.27,28.23,24.62,0.0,0.68,4.7,0.0,0.68,0.0,13.35,0.0,0.0,0.68,0.0
11,2021-11-08,43.22,40.32,41.72,41.3,0.0,21.83,17.62,34.58,0.0,8.8,0.0,0.0,0.0,0.0,15.58,0.0,0.0,0.0,0.0
12,2021-11-10,31.92,27.08,32.48,37.98,0.0,20.4,30.93,27.38,0.0,21.73,0.0,0.0,0.0,0.0,10.08,0.0,0.0,0.0,0.0
