,Date,Darius Garland,Evan Mobley,Jarrett Allen,Lauri Markkanen,Caris LeVert,Isaac Okoro,Collin Sexton,Ricky Rubio,Kevin Love,Cedi Osman,Rajon Rondo,Dean Wade,Lamar Stevens,Justin Anderson,Brandon Goodwin,Moses Brown,Denzel Valentine,Dylan Windler,Malik Newman,Luke Kornet,Kevin Pangos,Ed Davis,Tre Scott,Tacko Fall,RJ Nembhard Jr.,Tim Frazier
0,2021-10-20,31.92,38.3,28.9,31.47,0.0,20.55,29.38,24.95,17.45,17.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-10-22,0.0,32.45,26.62,34.4,0.0,25.38,34.55,28.07,23.67,17.0,0.0,5.0,1.87,0.0,0.0,0.0,1.87,0.0,0.0,0.0,5.4,0.0,0.0,1.87,1.87,0.0
2,2021-10-23,0.0,35.15,32.68,31.7,0.0,33.6,27.5,35.08,23.75,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-10-25,31.12,26.22,36.62,27.48,0.0,28.48,24.65,24.87,20.9,11.45,0.0,1.63,1.63,0.0,0.0,0.0,1.63,1.63,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0
4,2021-10-27,27.97,34.12,31.2,28.58,0.0,0.0,37.52,27.93,23.67,4.35,0.0,0.0,21.27,0.0,0.0,0.0,0.85,0.85,0.0,0.0,0.85,0.85,0.0,0.0,0.0,0.0
5,2021-10-29,32.28,36.27,31.17,31.97,0.0,0.0,31.65,31.58,16.0,0.0,0.0,2.23,20.15,0.0,0.0,0.0,2.23,2.23,0.0,0.0,0.0,2.23,0.0,0.0,0.0,0.0
6,2021-10-30,31.52,21.33,22.48,25.15,0.0,0.0,18.68,25.0,19.55,30.12,0.0,18.9,6.1,0.0,0.0,0.0,5.37,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-11-01,35.12,40.05,34.92,35.05,0.0,0.0,35.55,24.8,0.0,20.98,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-11-03,36.38,39.65,39.63,0.0,0.0,0.0,32.63,31.15,0.0,17.0,0.0,22.8,0.0,0.0,0.0,0.0,0.0,20.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2021-11-05,36.37,38.37,38.68,0.0,0.0,0.0,31.83,22.17,0.0,26.02,0.0,25.77,9.48,0.0,0.0,0.0,0.0,11.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2021-11-07,35.28,35.6,34.45,0.0,0.0,0.0,12.52,31.33,0.0,31.05,0.0,26.53,14.28,0.0,0.0,0.0,1.13,16.68,0.0,0.0,0.0,0.0,0.0,1.13,0.0,0.0
11,2021-11-10,36.22,25.5,38.02,0.0,0.0,28.02,0.0,27.67,0.0,28.55,0.0,27.65,15.32,0.0,0.0,0.0,0.0,13.02,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0
12,2021-11-12,34.85,34.85,29.22,0.0,0.0,23.47,0.0,27.17,0.0,22.77,0.0,29.92,0.85,0.0,0.0,0.0,3.65,22.28,0.0,0.0,3.65,3.65,0.0,3.65,0.0,0.0
13,2021-11-13,35.88,39.7,28.22,0.0,0.0,17.83,0.0,32.63,0.0,29.28,0.0,21.63,0.0,0.0,0.0,0.0,22.95,11.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2021-11-15,34.72,28.67,0.0,0.0,0.0,31.53,0.0,37.22,0.0,31.32,0.0,35.13,0.0,0.0,0.0,0.0,22.03,11.08,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0
15,2021-11-17,40.07,0.0,0.0,0.0,0.0,39.02,0.0,33.25,21.43,19.27,0.0,37.62,0.0,0.0,0.0,0.0,10.55,12.23,0.0,0.0,0.0,23.63,0.0,2.93,0.0,0.0
16,2021-11-18,38.02,0.0,0.0,0.0,0.0,43.45,0.0,37.62,21.53,0.0,0.0,40.05,0.0,0.0,0.0,0.0,8.67,18.3,0.0,0.0,1.4,28.17,0.0,1.4,1.4,0.0
17,2021-12-01,37.32,31.58,30.68,26.27,0.0,29.45,0.0,25.82,21.07,0.0,0.0,0.0,23.22,0.0,0.0,0.0,3.65,3.65,0.0,0.0,3.65,3.65,0.0,0.0,0.0,0.0
18,2021-12-03,34.25,35.98,36.83,36.07,0.0,29.05,0.0,28.85,17.57,0.0,0.0,0.0,12.8,0.0,0.0,0.0,2.15,2.15,0.0,0.0,2.15,2.15,0.0,0.0,0.0,0.0
19,2021-12-05,34.52,37.42,32.18,34.65,0.0,25.82,0.0,30.7,19.03,20.72,0.0,0.0,4.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2021-11-22,38.58,0.0,36.7,30.82,0.0,36.43,0.0,29.45,17.13,0.0,0.0,33.9,0.0,0.0,0.0,0.0,0.0,8.42,0.0,0.0,0.0,8.57,0.0,0.0,0.0,0.0
21,2021-12-06,34.5,31.33,38.38,34.42,0.0,18.25,0.0,27.67,18.98,25.23,0.0,0.0,11.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2021-11-24,30.05,0.0,38.48,35.8,0.0,34.22,0.0,29.17,22.38,28.43,0.0,15.95,0.0,0.0,0.0,0.0,5.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2021-12-08,32.75,31.58,32.18,27.22,0.0,27.72,0.0,23.17,19.97,21.83,0.0,4.72,4.72,0.0,0.0,0.0,4.72,4.72,0.0,0.0,4.72,0.0,0.0,0.0,0.0,0.0
24,2021-12-10,31.37,24.33,26.5,21.65,0.0,30.95,0.0,22.95,22.83,27.7,0.0,10.25,5.37,0.0,0.0,0.0,5.37,0.0,0.0,0.0,5.37,0.0,0.0,5.37,0.0,0.0
25,2021-12-11,37.42,37.95,38.8,26.15,0.0,29.73,0.0,26.35,13.58,27.42,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2021-11-27,36.3,33.3,35.7,32.3,0.0,26.7,0.0,26.77,18.85,22.48,0.0,0.0,7.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2021-12-13,36.1,34.83,32.0,31.53,0.0,35.0,0.0,27.67,23.82,6.12,0.0,0.0,12.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2021-11-29,32.68,35.4,34.15,33.3,0.0,26.5,0.0,28.05,17.45,0.0,0.0,0.0,7.07,0.0,0.0,0.0,4.85,11.55,0.0,0.0,4.85,4.15,0.0,0.0,0.0,0.0
29,2021-12-15,25.25,0.0,18.15,18.97,0.0,21.57,0.0,21.3,15.33,18.02,0.0,34.47,20.87,0.0,0.0,0.0,7.5,7.5,0.0,0.0,12.0,19.08,0.0,0.0,0.0,0.0
30,2021-12-18,32.27,0.0,29.12,29.17,0.0,0.0,0.0,29.17,23.05,27.08,0.0,22.45,11.92,0.0,0.0,0.0,12.4,6.5,0.0,0.0,3.33,10.22,0.0,0.0,3.33,0.0
31,2021-12-22,40.22,0.0,0.0,32.95,0.0,0.0,0.0,30.55,22.93,30.98,0.0,23.03,0.0,1.95,0.0,0.0,26.4,0.0,0.0,1.95,8.02,0.0,1.95,19.07,0.0,0.0
32,2021-12-26,29.33,0.0,0.0,22.15,0.0,0.0,0.0,23.33,18.28,0.0,0.0,28.05,0.0,30.83,0.0,0.0,26.17,0.0,0.0,12.92,16.32,0.0,9.42,11.18,12.0,0.0
33,2021-12-28,0.0,30.15,0.0,30.5,0.0,30.58,0.0,36.77,32.08,0.0,0.0,33.33,0.0,13.82,0.0,0.0,23.87,0.0,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0
