,Date,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,Tim Hardaway Jr.,Kristaps Porzingis,Spencer Dinwiddie,Reggie Bullock,Maxi Kleber,Dwight Powell,Josh Green,Davis Bertans,Isaiah Thomas,Brandon Knight,Sterling Brown,Frank Ntilikina,Trey Burke,Marquese Chriss,Willie Cauley-Stein,Theo Pinson,Moses Brown,Carlik Jones,Boban Marjanovic,Charlie Brown Jr.,George King,Eugene Omoruyi,Moses Wright,JaQuori McLaughlin,Luka Dončić,Kristaps Porziņģis,Boban Marjanović,Dāvis Bertāns
0,2021-10-21,0.0,28.78,25.67,27.93,0.0,0.0,15.03,17.02,20.22,4.18,0.0,0.0,0.0,10.73,4.18,9.42,0.0,12.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.4,28.82,0.0,0.0
1,2021-10-23,0.0,35.9,22.7,38.88,0.0,0.0,17.05,20.17,24.62,0.0,0.0,0.0,0.0,9.12,0.0,0.0,0.0,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.88,29.2,0.0,0.0
2,2021-10-26,0.0,32.13,28.33,29.75,0.0,0.0,17.45,16.47,24.82,3.68,0.0,0.0,0.0,9.12,3.47,3.67,0.0,5.17,0.0,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.27,19.52,9.08,0.0
3,2021-10-28,0.0,32.37,30.1,31.82,0.0,0.0,29.85,29.3,24.73,0.0,0.0,0.0,0.0,0.0,13.67,0.0,0.0,13.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.33,0.0,0.0,0.0
4,2021-10-29,0.0,23.58,19.42,21.32,0.0,0.0,21.88,22.88,19.22,16.65,0.0,0.0,0.0,0.0,18.82,15.8,0.0,13.17,0.0,8.9,0.0,0.0,0.0,0.0,8.68,0.0,0.0,26.42,0.0,3.25,0.0
5,2021-10-31,0.0,35.37,27.13,32.82,0.0,0.0,21.93,7.07,33.03,0.0,0.0,0.0,0.0,11.77,20.72,0.0,0.0,13.73,0.0,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.2,0.0,0.0,0.0
6,2021-11-02,0.0,30.67,30.6,31.1,0.0,0.0,25.33,0.0,25.0,4.03,0.0,0.0,0.0,12.63,18.62,0.0,0.0,19.08,0.0,1.73,0.0,0.0,0.0,0.0,1.73,0.0,1.73,35.55,0.0,2.18,0.0
7,2021-11-03,0.0,35.58,36.43,35.68,0.0,0.0,7.35,0.0,22.92,5.65,0.0,0.0,0.0,19.3,16.13,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.18,0.0,14.77,0.0
8,2021-11-06,0.0,30.1,34.6,34.82,0.0,0.0,26.08,0.0,22.62,0.0,0.0,0.0,0.0,7.4,12.93,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.07,27.88,0.0,0.0
9,2021-11-08,0.0,29.85,30.72,33.38,0.0,0.0,21.45,0.0,22.0,0.75,0.0,0.0,0.0,11.2,17.7,0.0,0.0,4.85,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.27,26.03,8.05,0.0
