,Date,Nikola Jokic,Will Barton,Aaron Gordon,Monte Morris,Michael Porter Jr.,Jeff Green,Austin Rivers,Bones Hyland,PJ Dozier,Facundo Campazzo,Bryn Forbes,Zeke Nnaji,JaMychal Green,DeMarcus Cousins,Davon Reed,Vlatko Cancar,Rayjon Tucker,Bol Bol,Markus Howard,James Ennis III,Petr Cornelie,Carlik Jones,Nikola Jokić,Vlatko Čančar
0,2021-10-20,0.0,33.5,29.02,28.43,33.98,18.98,7.72,0.0,20.8,19.57,0.0,0.0,13.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.72,0.0
1,2021-10-22,0.0,31.63,29.82,29.12,27.17,18.48,15.88,0.0,21.32,18.88,0.0,0.0,14.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.62,0.0
2,2021-10-25,0.0,31.48,28.08,27.15,27.28,18.03,13.78,10.42,9.93,17.62,0.0,2.73,10.3,0.0,0.0,0.0,0.0,2.73,2.73,0.0,2.73,0.0,34.95,0.0
3,2021-10-26,0.0,36.88,34.13,35.1,38.63,20.72,5.7,0.0,16.55,18.73,0.0,0.0,18.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
4,2021-10-29,0.0,27.25,23.58,23.63,24.77,16.08,17.93,8.9,22.08,17.82,0.0,7.23,11.45,0.0,0.0,0.0,0.0,7.43,6.55,0.0,0.0,0.0,25.25,0.0
5,2021-10-30,0.0,30.57,31.2,30.47,34.58,5.62,11.18,17.62,14.15,16.62,0.0,0.0,11.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.67,0.0
6,2021-11-01,0.0,29.03,28.25,27.93,36.15,19.75,0.0,15.92,18.8,16.17,0.0,0.0,14.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.05,0.0
7,2021-11-03,0.0,40.23,30.03,27.83,35.28,9.32,0.0,20.72,18.77,14.43,0.0,0.0,8.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.02,0.0
8,2021-11-06,0.0,36.85,27.7,34.25,7.17,20.3,9.27,15.08,23.07,18.32,0.0,0.0,11.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.38,0.0
9,2021-11-08,0.0,34.92,36.3,30.48,0.0,33.55,15.7,16.07,20.85,1.2,0.0,1.2,15.13,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,33.4,0.0
10,2021-11-10,0.0,33.88,32.75,30.33,0.0,27.53,14.93,21.85,24.7,7.1,0.0,20.47,21.55,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0
11,2021-11-12,0.0,35.4,34.17,30.68,0.0,31.43,16.57,21.07,22.68,0.0,0.0,0.0,12.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.48,0.0
12,2021-11-14,0.0,0.0,29.3,23.58,0.0,23.67,21.92,22.9,21.55,22.25,0.0,18.23,17.78,0.0,0.0,0.0,0.0,5.77,5.1,0.0,0.0,0.0,27.95,0.0
13,2021-11-15,0.0,0.0,35.8,37.35,0.0,32.7,29.28,10.65,22.08,8.83,0.0,0.0,15.3,0.0,0.0,0.0,0.0,11.13,0.0,0.0,0.0,0.0,36.87,0.0
