,Date,Derrick Walton,Saddiq Bey,Cade Cunningham,Jerami Grant,Marvin Bagley III,Isaiah Stewart,Killian Hayes,Cory Joseph,Frank Jackson,Hamidou Diallo,Braxton Key,Isaiah Livers,Carsen Edwards,Trey Lyles,Kelly Olynyk,Justin Robinson,Josh Jackson,Cassius Stanley,Trayvon Palmer,Saben Lee,Rodney McGruder,Jamorko Pickett,Luka Garza,Micah Potter,Cheick Diallo,Deividas Sirvydis,Jaysean Paige,Chris Smith
0,2021-10-20,0.0,32.53,0.0,32.35,0.0,25.83,20.3,27.7,28.57,15.2,0.0,0.0,0.0,16.73,22.17,0.0,18.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-10-23,0.0,34.22,0.0,31.45,0.0,24.27,19.45,20.92,20.3,13.78,0.0,0.0,0.0,19.28,19.05,0.0,16.3,0.0,0.0,9.77,3.57,1.42,6.23,0.0,0.0,0.0,0.0,0.0
2,2021-10-25,0.0,33.27,0.0,0.0,0.0,28.93,26.55,15.6,14.38,11.38,0.0,0.0,0.0,21.43,29.72,0.0,32.25,0.0,0.0,7.38,3.18,3.18,12.73,0.0,0.0,0.0,0.0,0.0
3,2021-10-28,0.0,34.62,0.0,36.38,0.0,17.98,31.67,16.33,23.08,11.32,0.0,0.0,0.0,14.35,25.33,0.0,24.25,0.0,0.0,0.0,0.0,0.0,4.68,0.0,0.0,0.0,0.0,0.0
4,2021-10-30,0.0,33.87,18.92,35.08,0.0,21.38,21.75,26.62,18.25,0.0,0.0,0.0,0.0,12.92,27.93,0.0,23.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-10-31,0.0,27.03,0.0,27.25,0.0,18.12,22.13,20.55,18.6,19.63,0.0,0.0,0.0,16.52,20.92,0.0,25.18,0.0,0.0,5.32,6.15,3.97,8.63,0.0,0.0,0.0,0.0,0.0
6,2021-11-02,0.0,31.25,29.23,23.92,0.0,24.43,26.32,14.58,15.52,5.58,0.0,0.0,0.0,18.5,16.47,0.0,15.75,0.0,0.0,4.57,6.78,0.0,7.1,0.0,0.0,0.0,0.0,0.0
7,2021-11-04,0.0,37.72,31.83,37.97,0.0,31.05,28.53,16.78,13.75,0.0,0.0,0.0,0.0,10.03,16.95,0.0,15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-11-05,0.0,30.67,30.28,39.25,0.0,22.6,0.0,29.9,15.75,0.0,0.0,0.0,0.0,11.3,25.4,0.0,31.15,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2021-11-10,0.0,35.73,30.47,34.65,0.0,14.9,30.9,17.37,15.67,0.0,0.0,0.0,0.0,15.77,25.72,0.0,18.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2021-11-12,0.0,31.92,31.1,24.62,0.0,24.22,27.57,20.38,23.33,0.0,0.0,0.0,0.0,15.3,0.0,0.0,21.45,0.0,0.0,0.0,6.12,0.0,13.98,0.0,0.0,0.0,0.0,0.0
11,2021-11-13,0.0,31.35,33.0,36.23,0.0,32.48,31.67,18.0,15.37,0.0,0.0,0.0,0.0,17.05,0.0,0.0,24.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2021-11-15,0.0,27.97,35.35,27.48,0.0,27.37,22.72,5.98,18.33,9.28,0.0,0.0,0.0,14.97,0.0,0.0,13.85,0.0,0.0,8.95,10.5,0.0,17.25,0.0,0.0,0.0,0.0,0.0
13,2021-11-17,0.0,33.35,33.53,34.02,0.0,31.67,19.75,30.75,26.15,14.47,0.0,0.0,0.0,16.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2021-11-19,0.0,36.0,36.25,34.07,0.0,15.52,18.18,29.82,32.9,13.12,0.0,0.0,0.0,16.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.37,0.0,0.0,0.0,0.0,0.0
15,2021-12-02,0.0,31.17,31.3,38.05,0.0,35.32,32.78,16.13,18.12,21.07,0.0,0.0,0.0,11.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22,0.0,0.0,0.0,0.0,0.0
16,2021-11-21,0.0,34.15,38.08,37.32,0.0,18.58,0.0,38.62,25.72,21.17,0.0,0.0,0.0,11.12,0.0,0.0,15.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2021-12-06,0.0,40.15,36.28,35.47,0.0,29.1,27.38,0.0,17.78,0.0,0.0,0.0,0.0,14.45,0.0,0.0,14.32,0.0,0.0,20.62,0.0,0.0,4.45,0.0,0.0,0.0,0.0,0.0
18,2021-11-23,0.0,35.52,28.87,34.75,0.0,0.0,0.0,34.25,30.68,15.32,0.0,0.0,0.0,24.77,0.0,0.0,11.18,0.0,0.0,7.45,0.0,0.0,17.22,0.0,0.0,0.0,0.0,0.0
19,2021-12-08,0.0,22.35,37.43,39.0,0.0,29.57,21.03,18.25,30.65,29.28,0.0,0.0,0.0,23.37,0.0,0.0,14.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2021-11-24,0.0,33.08,29.9,28.33,0.0,0.0,0.0,7.33,23.48,20.12,0.0,0.0,0.0,22.57,0.0,0.0,20.17,0.0,0.0,29.1,3.33,0.0,22.58,0.0,0.0,0.0,0.0,0.0
21,2021-11-26,0.0,22.5,28.48,33.1,0.0,27.17,0.0,24.82,21.22,17.87,0.0,0.0,0.0,14.67,0.0,0.0,19.33,0.0,0.0,20.4,0.0,0.0,10.45,0.0,0.0,0.0,0.0,0.0
22,2021-12-10,0.0,28.55,31.37,27.9,0.0,20.98,27.72,13.47,21.1,16.23,0.0,0.0,0.0,25.63,0.0,0.0,15.47,0.0,0.0,8.93,0.0,0.0,2.65,0.0,0.0,0.0,0.0,0.0
23,2021-12-12,0.0,26.03,35.52,0.0,0.0,39.98,20.48,0.0,31.38,20.43,0.0,0.0,0.0,8.02,0.0,0.0,11.63,0.0,0.0,27.57,18.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2021-11-28,0.0,32.97,33.78,32.88,0.0,26.92,28.6,19.4,27.88,13.7,0.0,0.0,0.0,17.17,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2021-11-30,0.0,26.13,33.07,35.15,0.0,32.92,31.15,20.67,23.95,9.6,0.0,0.0,0.0,11.82,0.0,0.0,7.52,0.0,0.0,0.0,4.73,0.0,3.27,0.0,0.0,0.0,0.0,0.0
26,2021-12-16,0.0,36.1,34.12,0.0,0.0,26.07,29.33,0.0,25.27,24.88,0.0,4.68,0.0,21.58,0.0,0.0,0.0,0.0,0.0,20.62,17.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2021-12-18,0.0,36.73,36.35,0.0,0.0,20.25,35.57,0.0,23.3,21.78,0.0,0.0,0.0,18.97,0.0,0.0,9.93,0.0,0.0,19.0,8.75,0.0,9.37,0.0,0.0,0.0,0.0,0.0
28,2021-12-19,0.0,36.37,31.1,0.0,0.0,29.57,20.85,23.9,22.4,29.53,0.0,0.0,0.0,18.43,0.0,0.0,0.0,0.0,0.0,18.38,2.18,0.0,7.28,0.0,0.0,0.0,0.0,0.0
29,2021-12-21,0.0,36.88,32.92,0.0,0.0,31.35,0.0,24.8,19.65,33.72,0.0,0.0,0.0,16.65,0.0,0.0,0.0,0.0,0.0,24.67,15.08,0.0,4.28,0.0,0.0,0.0,0.0,0.0
30,2021-12-23,0.0,43.02,0.0,0.0,0.0,0.0,0.0,42.07,39.07,34.4,0.0,0.0,0.0,37.07,0.0,0.0,21.28,0.0,0.0,0.0,0.0,15.12,5.0,0.0,2.98,0.0,0.0,0.0
31,2021-12-26,31.22,41.4,0.0,0.0,0.0,0.0,0.0,0.0,33.78,39.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,0.0,0.0,0.0,18.08,20.25,0.0,18.85,17.58,0.0,0.0
32,2021-12-29,36.78,43.08,0.0,0.0,0.0,0.0,0.0,0.0,13.67,38.67,0.0,0.0,0.0,0.0,0.0,11.22,0.0,27.35,16.77,0.0,0.0,0.0,39.23,0.0,8.77,4.47,0.0,0.0
