,Date,Jalen Green,Kevin Porter Jr.,Christian Wood,Eric Gordon,Dennis Schroder,Jae'Sean Tate,Garrison Mathews,Daniel Theis,Kenyon Martin Jr.,Alperen Sengun,Josh Christopher,Armoni Brooks,D.J. Augustin,Danuel House Jr.,David Nwaba,Daishen Nix,Usman Garuba,Bruno Fernando,Trevelin Queen,Alperen Şengün,DeJon Jarreau,Dennis Schröder
0,2021-10-20,32.18,24.75,32.03,22.78,0.0,21.17,0.0,20.57,9.15,0.0,8.37,8.37,16.67,0.0,17.03,0.0,8.37,0.0,0.0,18.57,0.0,0.0
1,2021-10-22,26.02,30.93,33.42,26.22,0.0,28.12,0.0,18.05,5.82,0.0,5.82,5.82,9.25,11.12,15.83,0.0,5.82,0.0,0.0,17.78,0.0,0.0
2,2021-10-24,35.83,36.58,35.52,26.47,0.0,35.3,0.0,22.58,0.0,0.0,0.53,0.0,10.27,13.72,3.75,0.0,0.0,0.0,0.0,19.43,0.0,0.0
3,2021-10-26,35.92,31.25,36.5,27.42,0.0,26.82,0.0,29.22,4.93,0.0,0.0,0.0,11.13,8.98,13.42,0.0,0.0,0.0,0.0,14.42,0.0,0.0
4,2021-10-28,29.72,18.62,27.28,23.77,0.0,15.25,0.0,20.25,16.17,0.0,12.0,15.45,14.08,0.0,13.48,0.0,10.0,0.0,0.0,23.93,0.0,0.0
5,2021-10-31,31.53,36.05,35.42,30.48,0.0,17.7,0.0,21.42,16.22,0.0,1.42,1.42,10.53,0.0,16.15,0.0,1.42,0.0,0.0,20.25,0.0,0.0
6,2021-11-02,37.83,39.82,37.0,0.0,0.0,35.2,0.0,0.0,28.07,0.0,0.0,9.02,13.4,0.0,13.92,0.0,0.0,0.0,0.0,25.75,0.0,0.0
7,2021-11-04,32.48,36.03,36.52,29.05,0.0,33.7,0.0,0.0,14.3,0.0,0.0,4.72,11.97,0.0,18.67,0.0,0.0,0.0,0.0,22.55,0.0,0.0
8,2021-11-06,30.58,32.23,36.77,28.67,0.0,31.08,0.0,31.52,18.58,0.0,0.0,3.5,8.98,0.0,4.2,0.0,0.0,0.0,0.0,13.88,0.0,0.0
9,2021-11-07,29.95,27.02,23.92,0.0,0.0,32.9,0.0,21.33,17.62,0.0,18.53,16.22,11.27,0.0,20.22,0.0,4.58,0.0,0.0,16.43,0.0,0.0
10,2021-11-10,37.88,35.8,37.33,29.6,0.0,28.73,0.0,26.98,8.73,0.0,4.53,0.0,0.0,18.65,11.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2021-11-12,30.98,29.27,36.78,32.58,0.0,24.58,0.0,28.9,14.98,0.0,2.48,0.0,5.2,15.55,0.0,0.0,0.0,0.0,0.0,18.67,0.0,0.0
12,2021-11-14,28.65,31.77,26.75,21.77,0.0,21.28,0.0,18.48,17.05,0.0,15.07,6.87,0.0,19.53,5.8,0.0,5.35,0.0,0.0,21.62,0.0,0.0
13,2021-11-15,27.72,20.52,25.57,0.0,0.0,24.92,14.6,21.12,17.38,0.0,9.85,9.47,18.9,13.23,9.85,0.0,9.15,0.0,0.0,17.73,0.0,0.0
14,2021-11-17,36.02,0.0,28.92,38.82,0.0,34.18,21.42,24.32,12.42,0.0,0.0,5.68,14.6,12.45,6.15,0.0,0.0,0.0,0.0,5.03,0.0,0.0
15,2021-12-01,0.0,13.05,9.3,32.13,0.0,35.4,36.0,21.03,18.82,0.0,15.8,29.57,0.0,15.48,0.0,0.0,0.0,0.0,0.0,13.42,0.0,0.0
