,Date,Tyrese Haliburton,Buddy Hield,Domantas Sabonis,Malcolm Brogdon,Caris LeVert,Myles Turner,Justin Holiday,Chris Duarte,Jalen Smith,T.J. McConnell,Oshae Brissett,Terry Taylor,Justin Anderson,Torrey Craig,Duane Washington Jr.,Lance Stephenson,Keifer Sykes,Tristan Thompson,Kelan Martin,Jeremy Lamb,Isaiah Jackson,Goga Bitadze,Brad Wanamaker,Gabe York,Reggie Perry,DeJon Jarreau,Nate Hinton,Ahmad Caver
0,2021-10-20,0.0,0.0,39.32,40.3,0.0,25.82,25.72,32.7,0.0,24.12,0.0,0.0,0.0,27.8,0.0,0.0,0.0,0.0,0.0,24.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-10-22,0.0,0.0,42.83,44.03,0.0,43.6,20.22,45.3,0.0,23.57,7.87,0.0,0.0,11.7,0.0,0.0,0.0,0.0,0.0,23.77,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.0
2,2021-10-23,0.0,0.0,42.57,41.27,0.0,16.2,37.03,41.47,0.0,24.23,31.62,0.0,0.0,11.38,0.0,0.0,0.0,0.0,0.0,17.73,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-10-25,0.0,0.0,37.45,37.37,0.0,14.08,37.87,33.45,0.0,17.85,22.73,0.0,0.0,6.47,0.0,0.0,0.0,0.0,0.0,15.08,0.0,17.65,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-10-27,0.0,0.0,33.73,21.8,0.0,22.5,28.28,32.1,0.0,20.33,21.23,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,16.47,9.98,2.02,19.55,0.0,0.0,0.0,0.0,0.0
5,2021-10-29,0.0,0.0,34.53,0.0,0.0,31.83,32.97,33.75,0.0,33.02,3.97,0.0,0.0,34.18,0.85,0.0,0.0,0.0,0.0,19.07,0.0,0.85,14.13,0.0,0.0,0.85,0.0,0.0
6,2021-10-30,0.0,0.0,39.53,0.0,15.55,35.8,32.07,32.43,0.0,34.53,7.55,0.0,0.0,8.48,0.0,0.0,0.0,0.0,0.0,14.37,0.0,10.02,9.67,0.0,0.0,0.0,0.0,0.0
7,2021-11-01,0.0,0.0,35.62,0.0,23.62,24.28,25.48,28.22,0.0,26.45,3.42,0.0,0.0,25.77,3.48,0.0,0.0,0.0,13.25,0.0,0.0,8.95,21.47,0.0,0.0,0.0,0.0,0.0
8,2021-11-03,0.0,0.0,34.22,36.47,31.07,28.92,22.57,33.88,0.0,16.78,0.0,0.0,0.0,21.22,0.0,0.0,0.0,0.0,5.22,0.0,0.0,9.67,0.0,0.0,0.0,0.0,0.0,0.0
9,2021-11-05,0.0,0.0,35.57,0.0,33.87,30.72,30.2,26.18,0.0,32.97,0.0,0.0,0.0,16.97,0.0,0.0,0.0,0.0,12.78,0.0,0.0,3.65,17.1,0.0,0.0,0.0,0.0,0.0
10,2021-11-07,0.0,0.0,29.4,0.0,30.87,34.58,28.33,31.33,0.0,32.75,0.0,0.0,0.0,28.75,0.0,0.0,0.0,0.0,4.02,5.93,0.0,2.87,11.17,0.0,0.0,0.0,0.0,0.0
11,2021-11-10,0.0,0.0,33.08,34.7,0.0,30.93,35.05,21.17,0.0,28.62,3.95,0.0,0.0,21.67,0.0,0.0,0.0,0.0,19.1,11.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2021-11-11,0.0,0.0,31.33,36.9,0.0,29.9,28.53,31.3,0.0,30.42,0.0,0.0,0.0,15.32,0.0,0.0,0.0,0.0,20.12,9.75,0.0,6.42,0.0,0.0,0.0,0.0,0.0,0.0
13,2021-11-13,0.0,0.0,30.23,37.2,24.77,34.93,28.23,26.6,0.0,22.12,0.0,0.0,0.0,10.85,0.0,0.0,0.0,0.0,25.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2021-11-15,0.0,0.0,40.23,37.42,31.15,31.52,31.38,0.0,0.0,23.13,0.0,0.0,0.0,7.77,0.0,0.0,0.0,0.0,13.18,7.73,0.0,16.48,0.0,0.0,0.0,0.0,0.0,0.0
15,2021-11-17,0.0,0.0,34.98,35.12,30.52,30.85,21.45,0.0,0.0,26.57,0.0,0.0,0.0,19.08,0.0,0.0,0.0,0.0,27.48,9.5,0.0,4.45,0.0,0.0,0.0,0.0,0.0,0.0
16,2021-12-01,0.0,0.0,39.42,36.42,28.07,34.12,0.0,35.02,0.0,3.1,17.88,0.0,0.0,3.95,0.0,0.0,0.0,0.0,13.72,11.85,0.0,0.0,16.47,0.0,0.0,0.0,0.0,0.0
17,2021-11-19,0.0,0.0,22.28,22.88,18.17,19.1,14.83,13.55,0.0,21.78,8.42,0.0,0.0,23.05,0.0,0.0,0.0,0.0,18.55,15.68,0.0,21.6,20.1,0.0,0.0,0.0,0.0,0.0
18,2021-12-03,0.0,0.0,37.02,38.67,37.48,34.32,0.0,36.63,0.0,0.0,20.98,0.0,0.0,3.68,0.0,0.0,0.0,0.0,15.6,11.37,0.0,0.0,4.25,0.0,0.0,0.0,0.0,0.0
19,2021-11-20,0.0,0.0,21.92,25.35,16.53,25.55,20.43,22.88,0.0,19.03,8.78,0.0,0.0,19.72,0.0,0.0,0.0,0.0,26.7,8.78,0.0,15.53,8.78,0.0,0.0,0.0,0.0,0.0
20,2021-12-06,0.0,0.0,35.97,35.8,33.32,29.77,0.0,25.13,0.0,0.0,28.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,18.98,0.0,0.0,12.88,0.0,0.0,0.0,0.0,0.0
21,2021-11-22,0.0,0.0,26.33,28.53,20.05,25.68,25.53,22.53,0.0,20.85,6.73,0.0,0.0,17.1,0.0,0.0,0.0,0.0,19.53,9.18,4.47,6.73,6.73,0.0,0.0,0.0,0.0,0.0
22,2021-11-24,0.0,0.0,34.65,46.4,27.43,35.7,35.17,30.05,0.0,25.47,0.0,0.0,0.0,20.75,0.0,0.0,0.0,0.0,9.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
