,Date,Paul George,Reggie Jackson,Marcus Morris,Terance Mann,Luke Kennard,Eric Bledsoe,Norman Powell,Nicolas Batum,Ivica Zubac,Amir Coffey,Robert Covington,Isaiah Hartenstein,Serge Ibaka,Brandon Boston Jr.,James Ennis III,Xavier Moon,Justise Winslow,Semi Ojeleye,Rodney Hood,Keon Johnson,Wenyen Gabriel,Jay Scrubb,Moses Wright,Jason Preston
0,2021-10-21,36.55,39.28,25.03,39.4,24.45,29.87,0.0,0.0,17.2,14.7,0.0,0.0,0.0,0.0,0.0,0.0,13.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-10-23,34.8,36.27,29.8,26.43,22.23,32.55,0.0,22.78,19.3,0.0,0.0,15.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-10-25,26.58,26.68,0.0,24.65,24.05,22.38,0.0,22.18,24.98,12.0,0.0,17.38,0.0,8.83,0.0,0.0,21.42,0.0,0.0,0.0,0.0,8.83,0.0,0.0
3,2021-10-27,34.15,33.98,0.0,25.15,32.88,26.77,0.0,32.23,24.48,2.7,0.0,13.1,0.0,0.0,0.0,0.0,14.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-10-29,33.62,33.82,0.0,29.23,32.63,21.62,0.0,26.3,22.15,14.38,0.0,19.62,0.0,0.0,0.0,0.0,3.32,0.0,0.0,0.0,0.0,3.32,0.0,0.0
5,2021-11-01,40.38,39.23,0.0,32.48,30.1,26.47,0.0,31.75,12.53,0.72,0.0,18.02,0.0,0.0,0.0,0.0,8.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-11-03,35.8,36.23,0.0,31.2,27.75,24.68,0.0,29.68,34.42,0.0,0.0,12.72,0.0,0.0,0.0,0.0,7.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-11-05,37.83,36.9,0.0,30.13,20.95,29.23,0.0,29.1,30.9,3.28,0.0,15.1,0.0,3.28,0.0,0.0,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-11-07,37.67,35.52,0.0,34.25,27.82,24.17,0.0,28.12,27.9,0.0,0.0,11.1,8.32,0.68,0.0,0.0,3.77,0.0,0.0,0.68,0.0,0.0,0.0,0.0
9,2021-11-09,32.82,34.98,0.0,32.7,26.5,31.35,0.0,28.8,24.13,0.42,0.0,17.4,5.52,0.42,0.0,0.0,4.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2021-11-11,38.22,30.55,0.0,17.67,26.85,40.23,0.0,36.62,29.4,0.0,0.0,17.58,0.0,0.0,0.0,0.0,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2021-11-13,26.87,27.2,0.0,30.28,25.65,25.52,0.0,18.87,22.7,7.63,0.0,25.3,0.0,0.0,0.0,0.0,20.85,0.0,0.0,0.0,0.0,9.12,0.0,0.0
12,2021-11-14,41.32,35.38,0.0,32.55,23.17,35.83,0.0,34.6,23.25,0.32,0.0,13.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2021-11-16,33.9,37.58,0.0,0.0,30.72,30.17,0.0,13.93,31.33,24.83,0.0,16.67,0.0,19.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0,0.0
14,2021-11-18,31.22,30.37,0.0,24.48,24.27,24.92,0.0,0.0,26.88,28.97,0.0,20.12,0.0,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.48,0.0,0.0
15,2021-12-01,0.0,27.05,21.57,25.87,28.82,19.07,0.0,0.0,23.73,0.0,0.0,17.58,18.63,23.7,0.0,0.0,6.17,0.0,0.0,12.2,0.0,15.62,0.0,0.0
16,2021-11-19,34.63,25.33,0.0,26.52,30.23,27.63,0.0,30.78,28.4,13.92,0.0,19.42,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.0
17,2021-12-03,39.47,35.67,32.88,16.4,23.5,17.75,0.0,0.0,22.33,0.0,0.0,16.1,28.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2021-11-21,37.58,35.13,0.0,27.0,34.43,25.95,0.0,0.0,26.82,25.23,0.0,5.23,12.42,0.0,0.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2021-12-04,37.8,31.5,31.68,24.65,27.02,18.2,0.0,0.0,29.18,0.0,0.0,14.43,12.67,12.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2021-12-06,38.58,32.38,31.22,18.22,36.33,15.62,0.0,0.0,27.68,0.0,0.0,13.12,7.2,19.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2021-11-23,48.42,42.18,30.73,19.1,31.58,24.53,0.0,0.0,25.97,24.03,0.0,10.62,6.47,0.0,0.0,0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2021-12-08,0.0,37.45,34.9,32.1,28.95,19.28,0.0,14.57,31.67,0.0,0.0,15.35,0.0,25.27,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2021-11-26,32.4,33.55,23.42,31.07,27.58,30.12,0.0,0.0,21.95,0.0,0.0,18.57,18.85,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2021-12-11,0.0,31.83,24.25,35.4,36.43,25.0,0.0,0.0,27.7,0.0,0.0,20.25,0.0,23.75,0.0,0.0,15.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2021-11-28,36.52,21.23,34.27,25.87,33.53,32.6,0.0,0.0,21.1,10.08,0.0,11.6,9.12,0.0,0.0,0.0,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2021-11-29,33.9,34.78,0.0,28.72,26.4,28.7,0.0,0.0,17.55,24.17,0.0,14.1,25.82,2.93,0.0,0.0,0.0,0.0,0.0,2.93,0.0,0.0,0.0,0.0
27,2021-12-13,0.0,30.38,33.42,38.38,34.42,24.18,0.0,0.0,24.57,0.0,0.0,23.02,0.0,16.22,0.0,0.0,12.67,0.0,0.0,2.75,0.0,0.0,0.0,0.0
28,2021-12-15,0.0,25.3,32.37,28.73,31.47,31.17,0.0,0.0,18.13,4.43,0.0,24.57,0.0,16.27,0.0,0.0,18.7,0.0,0.0,4.43,0.0,4.43,0.0,0.0
29,2021-12-18,0.0,33.83,0.0,40.6,39.38,21.07,0.0,25.1,24.08,6.43,0.0,19.1,0.0,4.72,0.0,0.0,25.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2021-12-20,30.5,20.12,0.0,36.58,27.88,24.32,0.0,17.28,27.35,0.0,0.0,0.0,22.03,22.8,0.0,0.0,11.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
