,Date,Ja Morant,Desmond Bane,Dillon Brooks,Jaren Jackson Jr.,Steven Adams,De'Anthony Melton,Ziaire Williams,Kyle Anderson,Tyus Jones,Brandon Clarke,John Konchar,Xavier Tillman Sr.,Killian Tillie,Santi Aldama,Sam Merrill,Jarrett Culver,Yves Pons,Shaq Buchanan,Xavier Sneed,DaQuan Jeffries,Dakota Mathias,Jon Teske,Tyrell Terry,Shaquille Harrison
0,2021-10-20,33.6,29.65,0.0,30.8,31.75,30.65,17.17,21.83,14.4,11.62,18.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-10-23,34.55,30.8,0.0,31.12,26.8,33.0,15.67,16.9,13.45,21.18,16.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-10-24,37.75,30.8,0.0,27.68,33.67,27.87,17.8,19.63,10.25,12.65,0.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-10-27,31.85,23.18,0.0,18.3,17.78,25.25,18.87,22.38,15.17,15.22,16.7,6.6,5.57,5.57,12.0,5.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-10-28,41.65,38.1,0.0,31.92,21.33,34.58,20.95,29.2,17.4,0.0,7.58,22.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-10-30,32.95,25.6,0.0,23.68,18.93,27.22,15.57,19.3,14.88,5.87,11.87,16.15,5.87,5.87,16.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-11-01,35.03,32.25,0.0,18.47,30.85,25.3,16.05,25.52,27.1,0.0,12.27,17.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-11-03,32.78,29.0,0.0,30.05,30.27,28.82,24.45,23.47,20.48,0.0,13.92,6.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-11-05,29.42,21.75,0.0,24.65,19.6,20.33,18.83,19.13,17.13,9.98,6.58,12.65,9.98,9.98,9.98,9.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2021-11-08,41.35,40.83,0.0,31.83,19.47,32.02,0.0,28.48,19.78,23.87,12.3,15.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2021-11-10,37.03,20.8,26.12,30.08,28.35,32.13,0.0,24.63,10.97,12.25,17.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2021-11-12,31.53,23.53,0.0,26.05,21.77,17.17,19.28,17.92,14.83,19.23,24.02,8.28,0.0,5.35,8.28,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2021-11-13,37.18,31.45,30.72,22.1,36.65,18.67,16.55,24.33,10.82,11.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
