,Date,Anthony Edwards,Karl-Anthony Towns,D'Angelo Russell,Jaden McDaniels,Patrick Beverley,Jarred Vanderbilt,Malik Beasley,Greg Monroe,Taurean Prince,Naz Reid,Jaylen Nowell,Jordan McLaughlin,Josh Okogie,Nathan Knight,Leandro Bolmaro,Jake Layman,McKinley Wright IV,Chris Silva,Rayjon Tucker
0,2021-10-20,31.18,29.38,24.68,25.52,0.0,15.12,20.52,0.0,16.13,18.62,5.55,18.65,21.18,0.0,4.67,4.67,4.13,0.0,0.0
1,2021-10-23,36.95,28.62,29.18,27.32,21.62,12.57,18.52,0.0,15.5,19.38,0.0,12.0,18.35,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-10-25,40.47,39.6,29.55,32.53,20.45,8.8,28.9,0.0,8.83,8.4,0.0,11.13,11.33,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-10-27,33.23,38.4,36.1,31.98,21.47,30.32,17.18,0.0,16.35,9.6,0.0,5.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-10-30,34.13,33.53,31.4,24.5,22.7,16.17,27.28,0.0,8.33,18.5,0.0,4.03,19.38,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-11-01,36.72,37.4,16.92,17.32,0.0,29.38,32.43,0.0,21.27,13.65,0.0,20.23,12.33,1.17,1.17,0.0,0.0,0.0,0.0
6,2021-11-03,38.03,36.23,0.0,28.75,31.42,26.77,26.58,0.0,9.58,11.77,8.85,11.17,10.85,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-11-05,31.63,31.82,0.0,12.93,27.35,22.32,35.9,0.0,24.17,16.18,9.27,18.58,0.0,3.28,3.28,3.28,0.0,0.0,0.0
8,2021-11-08,42.98,43.35,40.78,31.2,29.48,11.07,26.88,0.0,6.08,14.3,0.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0
9,2021-11-10,41.75,38.17,34.12,14.38,34.92,18.05,22.15,0.0,0.0,25.2,0.0,5.0,6.23,0.0,0.0,0.0,0.0,0.0,0.0
10,2021-11-12,32.0,30.37,33.97,21.18,23.7,18.02,24.72,0.0,6.07,18.97,3.53,5.87,14.38,1.85,1.85,3.53,0.0,0.0,0.0
11,2021-11-13,34.0,31.47,30.02,32.38,23.22,14.35,23.63,0.0,7.25,14.25,5.38,0.0,13.28,0.0,5.38,5.38,0.0,0.0,0.0
12,2021-11-15,39.18,40.25,34.9,30.08,33.93,23.5,23.92,0.0,0.0,0.0,0.0,0.0,14.23,0.0,0.0,0.0,0.0,0.0,0.0
13,2021-11-17,39.52,36.63,34.43,20.02,34.37,24.92,18.45,0.0,15.45,13.08,0.0,2.9,0.0,0.23,0.0,0.0,0.0,0.0,0.0
14,2021-12-01,38.42,32.95,39.03,0.0,0.0,33.47,23.17,0.0,15.53,18.2,6.38,0.0,17.15,0.0,15.7,0.0,0.0,0.0,0.0
15,2021-11-18,33.0,38.13,31.1,31.38,28.4,28.37,28.13,0.0,14.88,0.0,0.58,5.42,0.0,0.58,0.0,0.0,0.0,0.0,0.0
16,2021-12-03,36.83,0.0,34.28,0.0,0.0,29.85,28.45,0.0,19.55,34.48,0.0,0.0,18.15,13.52,24.88,0.0,0.0,0.0,0.0
17,2021-11-20,26.03,23.67,27.08,16.75,22.07,24.87,21.3,0.0,16.08,15.42,7.87,15.22,0.0,8.92,6.87,7.87,0.0,0.0,0.0
18,2021-11-22,33.12,34.82,30.93,30.08,25.62,25.12,22.45,0.0,13.68,10.43,2.75,2.75,0.0,2.75,2.75,2.75,0.0,0.0,0.0
19,2021-12-06,40.05,41.12,0.0,21.93,0.0,31.55,27.97,0.0,17.93,12.4,0.0,22.17,6.93,0.0,17.95,0.0,0.0,0.0,0.0
20,2021-11-24,43.15,28.53,36.58,24.37,5.45,24.8,37.5,0.0,12.07,16.13,0.0,11.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2021-12-08,33.75,34.2,0.0,23.42,22.72,26.57,26.48,0.0,20.0,13.8,0.0,9.93,6.38,4.37,14.02,4.37,0.0,0.0,0.0
22,2021-11-26,27.52,30.95,28.47,21.53,0.0,24.07,27.05,0.0,19.52,13.65,6.88,15.12,12.47,1.9,3.92,6.88,0.0,0.0,0.0
23,2021-12-10,32.55,30.45,0.0,21.55,27.63,30.3,29.2,0.0,11.25,14.17,15.4,0.0,3.57,3.57,15.65,4.72,0.0,0.0,0.0
24,2021-11-27,47.67,37.4,43.85,31.7,0.0,36.5,24.02,0.0,31.27,20.6,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0
25,2021-12-12,29.12,34.88,35.02,28.32,34.3,30.93,22.88,0.0,0.0,9.13,11.43,0.0,0.0,0.0,3.98,0.0,0.0,0.0,0.0
26,2021-11-29,39.37,32.32,38.68,0.0,0.0,0.0,28.7,0.0,22.85,22.87,6.85,0.0,33.4,0.0,14.97,0.0,0.0,0.0,0.0
27,2021-12-15,33.57,35.88,33.0,23.45,29.9,32.72,23.6,0.0,0.0,12.12,5.57,0.0,5.67,0.0,2.27,2.27,0.0,0.0,0.0
28,2021-12-17,0.0,32.18,27.37,21.67,31.6,31.07,32.02,0.0,0.0,11.72,19.03,4.1,13.47,4.1,4.1,7.57,0.0,0.0,0.0
29,2021-12-19,0.0,33.72,34.68,31.73,30.62,38.2,30.4,0.0,0.0,20.52,18.22,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0
30,2021-12-21,0.0,37.57,35.77,39.48,0.0,0.0,35.1,0.0,0.0,17.62,24.23,17.73,0.0,12.85,11.3,8.35,0.0,0.0,0.0
31,2021-12-23,0.0,0.0,41.15,36.63,0.0,0.0,42.7,0.0,0.0,35.77,19.25,10.75,0.0,14.87,2.5,36.38,0.0,0.0,0.0
32,2021-12-27,0.0,0.0,0.0,36.23,0.0,0.0,39.45,25.02,0.0,0.0,34.68,32.48,15.5,29.22,0.0,23.95,0.0,3.47,0.0
33,2021-12-28,0.0,0.0,0.0,35.63,29.42,0.0,40.03,22.43,0.0,12.23,29.28,23.68,5.38,25.38,0.0,16.52,0.0,0.0,0.0
34,2021-12-31,31.52,0.0,0.0,33.48,29.33,22.27,31.2,15.68,0.0,15.2,17.92,11.32,0.0,18.78,4.58,8.72,0.0,0.0,0.0
35,2022-01-02,37.63,0.0,0.0,21.62,31.2,31.97,36.57,0.0,10.85,30.4,22.47,5.72,0.0,11.58,0.0,0.0,0.0,0.0,0.0
36,2022-01-03,32.88,0.0,0.0,28.97,21.43,28.25,20.38,0.0,23.35,25.23,27.6,3.63,11.35,13.28,3.63,0.0,0.0,0.0,0.0
37,2022-01-05,32.42,36.93,30.22,21.4,26.1,30.08,18.3,0.0,10.48,11.07,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2022-01-07,29.37,27.1,31.12,18.23,0.0,28.5,20.35,0.0,15.8,20.05,11.6,6.35,20.25,5.32,0.0,5.97,0.0,0.0,0.0
39,2022-01-09,34.13,33.07,33.0,28.6,0.0,31.33,20.1,0.0,6.52,12.37,18.2,1.72,17.5,1.72,0.0,1.72,0.0,0.0,0.0
40,2022-01-11,36.95,41.68,33.65,27.52,21.42,25.95,30.48,0.0,7.9,6.07,1.82,0.0,6.57,0.0,0.0,0.0,0.0,0.0,0.0
41,2022-01-13,38.07,39.9,34.6,18.95,30.05,29.7,24.05,0.0,10.27,11.03,0.0,0.0,3.35,0.0,0.0,0.0,0.0,0.0,0.0
42,2022-01-16,27.9,29.93,22.42,21.23,25.48,24.13,24.12,0.0,11.78,14.82,24.72,0.0,2.63,3.25,1.7,2.63,3.25,0.0,0.0
43,2022-01-18,39.33,36.17,25.08,19.22,30.42,33.73,17.17,0.0,4.02,11.83,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2022-01-19,23.82,34.33,34.93,17.28,6.2,20.68,31.18,0.0,19.73,20.55,17.18,0.0,14.1,0.0,0.0,0.0,0.0,0.0,0.0
45,2022-01-23,30.87,32.35,31.38,27.33,0.0,31.53,13.95,0.0,19.75,14.47,22.38,1.18,11.25,1.18,0.0,1.18,1.18,0.0,0.0
46,2022-01-25,38.73,37.4,35.22,15.5,0.0,35.75,19.57,0.0,27.37,10.6,19.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2022-01-27,37.33,35.88,19.82,32.98,0.0,30.13,20.05,0.0,16.18,11.07,28.83,0.55,6.58,0.55,0.0,0.0,0.0,0.0,0.0
48,2022-01-28,37.43,30.58,0.0,29.48,0.0,28.73,27.65,0.0,24.22,17.35,14.77,17.18,12.6,0.0,0.0,0.0,0.0,0.0,0.0
49,2022-01-30,35.58,33.7,0.0,26.9,0.0,25.07,23.05,0.0,24.17,14.3,26.08,26.78,0.0,2.18,0.0,2.18,0.0,0.0,0.0
