,Date,Brandon Ingram,CJ McCollum,Josh Hart,Jonas Valanciunas,Herbert Jones,Devonte' Graham,Nickeil Alexander-Walker,Larry Nance Jr.,Jaxson Hayes,Garrett Temple,Tony Snell,Willy Hernangomez,Jose Alvarado,Tomas Satoransky,Kira Lewis Jr.,Trey Murphy III,Naji Marshall,Tyrone Wallace,Gary Clark,Jared Harper,Alize Johnson,Didi Louzada,Daulton Hommes,Justin James,Feron Hunt,Wenyen Gabriel,Miye Oni
0,2021-10-20,36.62,0.0,10.17,29.58,3.25,29.15,34.0,0.0,18.42,15.1,0.0,0.0,0.0,8.67,16.73,18.15,20.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-10-22,34.35,0.0,0.0,33.2,29.15,29.6,32.35,0.0,14.8,10.3,0.0,0.0,0.0,7.22,11.18,24.57,13.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-10-23,40.27,0.0,0.0,35.9,28.85,35.43,35.53,0.0,11.7,15.05,0.0,0.0,0.0,0.0,11.2,21.95,4.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-10-25,36.45,0.0,0.0,39.32,31.6,38.52,29.92,0.0,8.37,16.05,0.0,0.0,0.0,0.0,9.48,19.62,10.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-10-27,38.78,0.0,0.0,35.7,22.18,31.78,30.2,0.0,11.17,8.75,0.0,0.0,0.0,0.0,16.22,25.87,19.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-10-29,35.73,0.0,22.25,32.27,24.7,33.35,28.23,0.0,14.07,0.0,0.0,0.0,0.0,0.0,14.65,22.15,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-10-30,0.0,0.0,30.3,32.83,36.22,31.92,31.83,0.0,15.15,0.0,0.0,0.0,0.0,16.08,16.17,18.18,11.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-11-02,0.0,0.0,30.1,35.85,19.42,34.1,29.88,0.0,11.37,22.73,0.0,0.0,0.0,0.0,13.9,24.9,17.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-11-03,0.0,0.0,31.87,29.17,0.0,30.92,32.9,0.0,4.45,34.25,0.0,10.75,1.05,12.93,16.85,13.98,19.83,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0
9,2021-11-05,0.0,0.0,30.43,31.35,0.0,29.72,28.25,0.0,0.0,26.03,0.0,3.27,5.88,20.85,18.22,18.42,21.67,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0
