,Date,Julius Randle,RJ Barrett,Evan Fournier,Alec Burks,Mitchell Robinson,Kemba Walker,Derrick Rose,Immanuel Quickley,Nerlens Noel,Taj Gibson,Quentin Grimes,Obi Toppin,Cam Reddish,Jericho Sims,Damyean Dotson,Miles McBride,Kevin Knox,Ryan Arcidiacono,Wayne Selden,Feron Hunt,Danuel House Jr.,Matt Mooney,Tyler Hall
0,2021-10-20,46.0,47.05,44.43,16.28,34.47,35.53,22.47,8.42,0.0,0.0,0.0,28.38,0.0,6.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-10-22,30.12,25.35,27.07,18.18,28.22,21.77,23.57,19.97,0.0,0.0,4.57,23.35,0.0,9.75,0.0,2.67,4.47,0.0,0.97,0.0,0.0,0.0,0.0
2,2021-10-24,38.48,33.05,25.97,24.78,33.37,19.3,28.63,12.2,0.0,11.85,0.0,12.3,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-10-26,36.22,31.35,32.2,17.15,28.98,28.17,19.83,15.3,0.0,19.02,0.0,11.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-10-28,34.98,33.4,32.67,17.27,28.75,29.33,18.58,12.83,0.0,19.17,0.0,13.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-10-30,37.87,35.93,37.07,12.58,27.1,32.02,15.42,10.93,0.0,20.9,0.0,10.13,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-11-01,36.8,38.75,25.17,16.02,27.65,28.4,19.6,19.33,0.0,10.07,0.0,12.8,0.0,5.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-11-03,37.1,34.18,29.17,21.38,27.65,28.22,19.78,13.82,17.8,0.0,0.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-11-05,33.28,39.38,24.73,12.77,21.15,15.22,30.42,18.25,24.48,0.0,1.38,14.72,0.0,2.37,0.0,0.45,1.38,0.0,0.0,0.0,0.0,0.0,0.0
9,2021-11-07,36.92,29.87,29.12,21.95,16.93,0.0,28.97,20.1,30.03,0.0,12.0,11.08,0.0,0.87,0.0,1.13,1.03,0.0,0.0,0.0,0.0,0.0,0.0
10,2021-11-08,35.67,40.4,26.7,21.3,0.0,26.88,20.73,15.83,12.35,31.43,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2021-11-10,27.22,20.77,19.22,28.78,23.08,18.22,29.78,27.23,0.0,24.92,0.0,20.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2021-11-12,32.87,25.97,26.82,25.33,23.07,30.6,17.4,21.18,0.0,21.63,0.0,15.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2021-11-15,35.48,30.38,23.55,22.03,15.85,20.48,24.55,23.0,0.0,28.87,0.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2021-11-17,32.1,33.63,20.6,27.4,30.58,20.9,19.02,24.45,0.0,13.72,0.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2021-12-02,38.92,0.0,32.27,42.97,29.52,0.0,26.32,38.48,0.0,3.22,5.65,18.8,0.0,0.0,0.0,0.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0
16,2021-11-20,33.38,25.42,30.35,25.37,18.0,21.48,20.93,21.37,29.08,0.0,0.0,14.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2021-12-04,35.12,24.67,35.92,27.48,21.5,0.0,23.83,19.97,18.92,0.0,12.13,20.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2021-11-21,38.55,33.05,22.88,29.07,0.0,17.97,30.03,25.12,26.22,0.0,0.43,13.1,0.0,3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2021-11-23,33.78,27.37,41.92,25.95,0.0,23.22,0.0,21.95,39.38,0.0,4.78,21.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2021-12-07,35.37,38.87,20.92,36.08,22.02,0.0,21.67,26.47,25.98,0.0,0.13,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2021-12-08,31.47,34.8,22.37,29.75,19.4,0.0,23.62,25.63,0.0,17.8,3.92,19.5,0.0,3.92,0.0,3.92,3.92,0.0,0.0,0.0,0.0,0.0,0.0
22,2021-11-26,31.62,31.45,25.72,22.95,21.15,23.02,0.0,19.67,18.33,0.0,17.02,13.77,0.0,3.6,0.0,4.07,7.65,0.0,0.0,0.0,0.0,0.0,0.0
23,2021-12-10,37.32,29.93,23.93,36.72,18.03,0.0,33.02,24.07,13.22,0.0,0.0,23.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2021-11-27,31.72,30.78,28.68,39.13,26.67,0.0,0.0,30.55,0.0,0.0,14.85,16.28,0.0,21.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2021-12-12,35.47,0.0,26.67,0.0,18.2,0.0,36.52,26.02,28.07,0.0,39.5,0.0,0.0,0.0,0.0,0.77,28.78,0.0,0.0,0.0,0.0,0.0,0.0
26,2021-11-30,39.87,8.55,22.0,39.3,25.13,0.0,34.68,37.52,18.8,0.0,2.55,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2021-12-14,37.27,0.0,28.92,38.85,14.15,0.0,34.28,21.63,24.3,0.0,0.0,0.0,0.0,0.0,0.0,20.32,20.28,0.0,0.0,0.0,0.0,0.0,0.0
28,2021-12-16,31.53,0.0,27.58,36.52,30.43,0.0,12.18,31.9,17.57,16.47,0.0,0.0,0.0,0.0,0.0,35.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2021-12-18,40.97,0.0,42.83,41.08,21.77,37.35,0.0,0.0,24.83,21.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.48,0.0,0.0,0.0,0.0
30,2021-12-21,38.25,0.0,40.73,41.37,24.6,39.97,0.0,0.0,23.4,18.82,0.0,0.0,0.0,0.0,4.18,0.0,0.0,0.0,8.68,0.0,0.0,0.0,0.0
31,2021-12-23,35.45,0.0,38.23,36.42,24.98,43.0,0.0,0.0,0.0,7.1,0.0,13.0,0.0,22.12,16.35,0.0,0.0,0.0,0.0,0.0,3.35,0.0,0.0
32,2021-12-25,34.32,25.63,31.17,17.5,30.42,40.35,0.0,0.0,0.0,17.58,25.48,13.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93,1.93
33,2021-12-28,37.5,24.4,24.77,16.28,32.05,33.22,0.0,14.68,0.0,15.58,31.02,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2021-12-29,26.08,25.4,0.0,26.9,20.03,19.87,0.0,34.67,0.0,27.97,12.62,21.92,0.0,0.0,0.0,24.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2021-12-31,0.0,36.3,20.38,23.65,24.72,0.0,0.0,25.72,0.0,23.28,18.97,27.32,0.0,0.0,0.0,24.28,15.38,0.0,0.0,0.0,0.0,0.0,0.0
36,2022-01-02,0.0,29.15,25.83,26.83,0.0,0.0,0.0,27.8,0.0,29.88,22.17,45.18,0.0,0.0,0.0,15.47,17.68,0.0,0.0,0.0,0.0,0.0,0.0
37,2022-01-04,38.9,41.72,21.98,35.57,25.38,0.0,0.0,22.23,0.0,22.62,19.55,9.1,0.0,0.0,0.0,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2022-01-06,38.4,33.33,41.92,37.48,27.22,0.0,0.0,25.03,0.0,20.77,6.25,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2022-01-08,37.43,42.58,0.0,33.85,28.27,0.0,0.0,36.9,0.0,18.23,27.8,9.07,0.0,1.5,0.0,2.87,1.5,0.0,0.0,0.0,0.0,0.0,0.0
40,2022-01-10,33.77,30.65,21.65,31.68,31.85,0.0,0.0,25.38,0.0,13.48,28.15,14.23,0.0,2.67,0.0,2.67,3.82,0.0,0.0,0.0,0.0,0.0,0.0
41,2022-01-12,37.47,40.87,33.2,34.6,25.62,0.0,0.0,14.33,21.17,0.0,18.53,10.53,0.0,1.22,0.0,1.22,1.22,0.0,0.0,0.0,0.0,0.0,0.0
42,2022-01-15,37.5,40.72,31.68,35.58,31.13,0.0,0.0,19.7,0.0,16.87,16.32,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2022-01-17,31.32,38.78,25.28,25.65,25.5,0.0,0.0,28.95,0.0,18.78,22.72,16.68,0.0,3.72,0.0,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2022-01-18,38.98,37.12,37.47,16.62,20.33,29.55,0.0,9.48,0.0,24.67,16.73,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2022-01-20,29.48,27.98,25.15,22.58,30.05,21.17,0.0,23.28,0.0,17.95,23.83,18.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2022-01-23,40.08,42.62,28.08,29.68,16.12,0.0,0.0,18.32,26.3,5.58,19.92,7.92,5.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
