,Date,Zavier Simpson,Georgios Kalaitzakis,Melvin Frazier,Shai Gilgeous-Alexander,Jaylen Hoard,Luguentz Dort,Josh Giddey,Darius Bazley,Aaron Wiggins,Vit Krejci,Tre Mann,Jeremiah Robinson-Earl,Kenrich Williams,Isaiah Roby,Aleksej Pokusevski,Olivier Sarr,Lindy Waters III,Scotty Hopson,Theo Maledon,Paul Watson,Ty Jerome,Derrick Favors,Mamadi Diakite,Mike Muscala,Gabriel Deck,Rob Edwards
0,2021-10-20,0.0,0.0,0.0,32.67,0.0,30.12,28.7,30.38,0.0,3.23,14.9,13.3,15.87,14.38,14.93,0.0,0.0,0.0,21.17,0.0,0.0,20.32,0.0,0.0,0.0,0.0
1,2021-10-22,0.0,0.0,0.0,26.47,0.0,27.12,19.57,17.97,0.0,5.82,13.03,21.13,22.22,9.82,16.75,0.0,0.0,0.0,14.65,0.0,14.65,9.98,0.0,11.9,8.93,0.0
2,2021-10-24,0.0,0.0,0.0,38.65,0.0,37.45,33.57,31.77,0.0,0.0,9.87,13.77,20.9,0.0,6.72,0.0,0.0,0.0,13.08,0.0,0.0,18.57,0.0,15.67,0.0,0.0
3,2021-10-26,0.0,0.0,0.0,35.72,0.0,32.87,27.18,19.73,0.0,0.0,9.43,27.2,24.72,2.3,18.43,0.0,0.0,0.0,23.92,0.0,0.0,0.0,0.0,18.5,0.0,0.0
4,2021-10-27,0.0,0.0,0.0,37.68,0.0,33.95,32.22,31.87,0.0,0.0,5.32,5.65,19.1,16.42,7.25,0.0,0.0,0.0,7.48,0.0,14.22,25.85,0.0,0.0,3.0,0.0
5,2021-10-30,0.0,0.0,0.0,28.68,0.0,29.82,27.77,27.38,0.0,0.0,0.0,18.83,20.02,8.42,19.28,0.0,0.0,0.0,8.42,0.0,19.45,10.47,0.0,14.48,6.98,0.0
6,2021-11-01,0.0,0.0,0.0,39.87,0.0,0.0,34.68,30.38,0.0,0.0,0.0,23.03,22.25,0.0,15.27,0.0,0.0,0.0,28.12,0.0,5.9,15.6,0.0,24.9,0.0,0.0
7,2021-11-04,0.0,0.0,0.0,39.13,0.0,35.0,31.9,24.05,0.0,0.0,0.0,9.98,29.68,0.0,10.2,0.0,0.0,0.0,4.13,0.0,21.08,28.08,0.0,6.75,0.0,0.0
8,2021-11-07,0.0,0.0,0.0,35.87,0.0,34.58,27.2,32.25,0.0,0.08,0.0,23.6,20.47,0.0,18.42,0.0,0.0,0.0,7.05,0.0,13.87,12.43,0.0,14.18,0.0,0.0
9,2021-11-10,0.0,0.0,0.0,36.38,0.0,33.97,30.7,33.63,0.0,0.0,14.03,11.3,20.78,0.0,20.02,0.0,0.0,0.0,0.0,0.0,2.9,20.58,0.0,13.22,2.48,0.0
10,2021-11-12,0.0,0.0,0.0,34.98,0.0,32.63,24.6,33.25,0.0,0.0,18.97,29.33,18.35,0.0,15.75,0.0,0.0,0.0,0.0,0.0,6.27,13.83,0.0,12.0,0.0,0.0
11,2021-11-14,0.0,0.0,0.0,30.42,0.0,27.28,24.82,25.52,21.3,0.0,5.43,21.72,21.65,12.45,19.58,0.0,0.0,0.0,0.0,0.0,16.0,13.83,0.0,0.0,0.0,0.0
12,2021-11-15,0.0,0.0,0.0,34.95,0.0,31.07,31.53,24.97,19.62,0.0,6.87,25.72,17.1,11.33,16.48,0.0,0.0,0.0,0.0,0.0,11.97,0.0,0.0,8.4,0.0,0.0
13,2021-11-17,0.0,0.0,0.0,36.58,0.0,36.58,33.6,25.97,0.42,0.0,10.87,24.75,18.3,0.0,10.08,0.0,0.0,0.0,0.0,0.0,11.32,17.53,0.0,14.0,0.0,0.0
14,2021-12-01,0.0,0.0,0.0,37.65,0.0,36.03,0.0,25.32,10.12,0.0,32.07,33.92,0.0,14.08,8.47,0.0,0.0,0.0,7.77,18.65,15.93,0.0,0.0,0.0,0.0,0.0
15,2021-12-02,0.0,0.0,0.0,0.0,0.0,25.25,0.0,15.23,0.0,0.0,26.53,23.55,0.0,24.4,19.03,0.0,0.0,0.0,0.0,32.1,35.25,0.0,0.0,16.65,21.98,0.0
16,2021-11-19,0.0,0.0,0.0,35.97,0.0,32.38,31.9,33.05,14.32,0.0,0.0,27.88,17.82,0.0,11.8,0.0,0.0,0.0,0.0,0.0,14.58,0.0,0.0,20.3,0.0,0.0
17,2021-11-20,0.0,0.0,0.0,34.08,0.0,35.92,28.6,33.53,9.85,0.0,0.0,27.05,18.52,9.02,8.9,0.0,0.0,0.0,0.0,0.0,14.97,19.57,0.0,0.0,0.0,0.0
18,2021-11-22,0.0,0.0,0.0,0.0,0.0,30.45,31.12,32.52,17.63,0.0,0.0,31.7,13.83,10.33,21.97,0.0,0.0,0.0,0.0,0.0,15.63,17.07,0.0,16.3,1.45,0.0
19,2021-12-06,0.0,0.0,0.0,37.35,0.0,37.33,30.12,29.22,0.0,0.0,13.45,17.92,26.6,0.0,11.82,0.0,0.0,0.0,0.0,0.0,3.68,16.92,0.0,15.6,0.0,0.0
20,2021-12-08,0.0,0.0,0.0,36.63,0.0,38.07,30.85,32.23,0.0,0.0,17.83,18.12,21.4,0.0,9.93,0.0,0.0,0.0,0.0,2.83,0.0,16.83,0.0,15.27,0.0,0.0
21,2021-11-24,0.0,0.0,0.0,0.0,0.0,36.58,33.73,30.58,26.03,0.0,0.0,28.35,17.42,0.0,15.22,0.0,0.0,0.0,12.62,0.0,17.52,13.78,0.0,8.17,0.0,0.0
22,2021-11-26,0.0,0.0,0.0,34.4,0.0,35.9,28.8,21.7,0.0,0.0,17.0,22.97,24.42,0.0,17.22,0.0,0.0,0.0,0.0,0.0,10.68,9.62,0.0,17.3,0.0,0.0
23,2021-12-10,0.0,0.0,0.0,30.35,0.0,32.87,32.05,23.8,0.0,0.0,27.75,26.33,18.75,4.63,16.85,0.0,0.0,0.0,4.63,4.63,0.0,12.88,0.0,4.47,0.0,0.0
24,2021-12-12,0.0,0.0,0.0,32.8,0.0,15.73,30.2,30.43,0.0,0.0,14.3,15.75,22.92,0.0,23.45,0.0,0.0,0.0,12.53,0.0,12.87,17.4,0.0,11.62,0.0,0.0
25,2021-11-29,0.0,0.0,0.0,33.0,0.0,25.15,24.97,20.02,10.5,0.0,30.05,21.3,0.0,26.7,12.07,0.0,0.0,0.0,6.42,20.13,9.68,0.0,0.0,0.0,0.0,0.0
26,2021-12-15,0.0,0.0,0.0,36.7,0.0,0.0,36.7,23.65,22.55,0.0,23.05,26.22,26.12,0.0,0.0,0.0,0.0,0.0,0.53,0.0,11.4,19.02,0.0,14.07,0.0,0.0
27,2021-12-18,0.0,0.0,0.0,35.82,0.0,36.55,31.53,24.4,18.45,0.0,18.45,17.87,21.6,0.0,9.18,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,14.25,0.0,0.0
28,2021-12-20,0.0,0.0,0.0,36.97,0.0,35.98,29.82,23.58,5.75,0.0,13.9,18.18,23.13,0.0,21.3,0.0,0.0,0.0,0.0,0.0,0.0,16.62,0.0,14.68,0.0,0.0
29,2021-12-22,0.0,0.0,0.0,36.92,0.0,34.57,33.75,27.7,0.0,0.0,16.02,33.18,16.08,2.38,12.43,0.0,0.0,0.0,0.0,0.0,6.67,20.3,0.0,0.0,0.0,0.0
30,2021-12-23,0.0,0.0,0.0,38.83,0.0,32.63,30.78,17.67,23.47,0.0,18.33,31.67,21.02,0.0,12.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.13,0.0,0.0
31,2021-12-26,0.0,0.0,0.0,34.97,0.0,31.75,27.63,0.0,32.28,0.0,0.0,25.85,21.42,0.0,7.67,0.0,0.0,0.0,20.97,0.0,15.32,12.48,0.0,9.65,0.0,0.0
32,2021-12-28,0.0,0.0,0.0,35.27,0.0,32.73,0.0,0.0,25.7,0.0,0.0,0.0,27.8,21.92,0.0,11.8,0.0,0.0,22.3,22.27,15.17,0.0,0.0,14.28,10.77,0.0
33,2021-12-29,0.0,0.0,0.0,0.0,1.83,35.4,0.0,0.0,38.5,0.0,0.0,0.0,6.58,18.95,0.0,1.83,0.0,17.73,17.83,36.83,35.45,11.9,0.0,15.32,0.0,1.83
34,2021-12-31,0.0,0.0,0.0,34.77,0.0,33.2,0.0,0.0,26.12,0.0,0.0,0.0,27.53,18.2,17.1,0.0,0.0,0.0,11.8,14.28,27.2,15.65,0.0,14.15,0.0,0.0
35,2022-01-02,0.0,0.0,0.0,0.0,0.0,0.0,36.17,0.0,37.08,0.0,0.0,0.0,18.67,20.33,28.97,0.0,0.0,0.0,31.85,0.0,30.25,12.75,0.0,14.92,0.0,9.02
36,2022-01-05,0.0,0.0,0.0,37.5,0.0,0.0,34.88,24.12,37.12,0.0,17.57,22.2,25.15,0.0,16.5,0.0,0.0,0.0,0.0,0.0,9.38,0.0,0.0,15.58,0.0,0.0
37,2022-01-07,0.0,0.0,0.0,28.38,0.0,26.65,29.88,15.52,26.03,0.0,21.27,24.97,15.9,0.0,20.22,0.0,0.0,0.0,8.03,4.47,6.35,0.0,0.0,12.33,0.0,0.0
38,2022-01-09,0.0,0.0,0.0,31.48,0.0,28.48,32.43,24.15,18.58,0.0,19.33,25.95,17.92,0.0,12.25,0.0,0.0,0.0,0.0,0.0,0.0,15.83,0.0,13.58,0.0,0.0
39,2022-01-11,0.0,0.0,0.0,35.0,0.0,34.03,36.0,30.1,17.88,0.0,22.58,28.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.38,11.75,0.0,9.78,0.0,0.0
40,2022-01-13,0.0,0.0,0.0,35.05,0.0,33.2,31.07,19.9,26.58,0.0,23.32,23.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.97,0.0,9.83,12.18,0.0,0.0
41,2022-01-15,0.0,0.0,0.0,34.15,0.0,29.45,29.98,28.22,10.4,0.0,25.17,26.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.15,17.07,12.52,8.12,0.0,0.0
42,2022-01-17,0.0,0.0,0.0,37.33,0.0,36.82,32.22,18.65,31.43,0.0,18.63,23.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.0,6.13,17.1,0.0,0.0
