,Date,Cole Anthony,Franz Wagner,Wendell Carter Jr.,Devin Cannady,Gary Harris,Jalen Suggs,Mo Bamba,Chuma Okeke,Terrence Ross,R.J. Hampton,Hassani Gravett,Markelle Fultz,Tim Frazier,Jeff Dowtin,Robin Lopez,B.J. Johnson,Moritz Wagner,Aleem Ford,Freddie Gillespie,Mychal Mulder,Ignas Brazdeikis,Admiral Schofield,E'Twaun Moore
0,2021-10-20,30.03,32.27,18.75,0.0,0.0,30.28,27.25,0.0,27.35,26.48,0.0,0.0,0.0,0.0,13.15,0.0,15.12,0.0,0.0,0.0,19.32,0.0,0.0
1,2021-10-22,31.6,33.8,30.13,0.0,0.0,31.72,33.87,0.0,24.08,19.95,0.0,0.0,0.0,0.0,13.17,0.0,13.4,0.0,0.0,0.0,8.28,0.0,0.0
2,2021-10-24,34.75,38.63,30.9,0.0,0.0,24.13,33.83,0.0,31.28,15.73,0.0,0.0,0.0,0.0,14.67,0.0,13.97,0.0,0.0,0.0,2.1,0.0,0.0
3,2021-10-25,31.97,26.92,27.77,0.0,18.93,27.85,28.22,0.0,21.52,25.7,0.0,0.0,0.0,0.0,10.55,0.0,11.37,0.0,0.0,0.0,9.22,0.0,0.0
4,2021-10-27,34.7,32.25,32.82,0.0,22.63,35.9,31.68,0.0,29.5,10.43,0.0,0.0,0.0,0.0,0.0,0.0,10.08,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-10-29,33.92,33.68,33.4,0.0,26.5,29.8,39.43,0.0,21.52,5.78,0.0,0.0,0.0,0.0,7.48,0.0,8.48,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-10-30,35.35,28.42,16.78,0.0,17.53,26.3,29.45,14.0,24.98,19.22,0.0,0.0,0.0,0.0,0.0,0.0,17.15,0.0,0.0,3.33,7.48,0.0,0.0
7,2021-11-01,38.3,30.6,35.6,0.0,0.0,32.43,33.9,20.62,28.13,14.53,0.0,0.0,0.0,0.0,0.0,0.0,5.87,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-11-03,37.03,31.58,35.05,0.0,0.0,24.5,29.48,18.5,28.72,19.3,0.0,0.0,0.0,0.0,0.0,0.0,9.2,0.0,0.0,3.77,2.87,0.0,0.0
9,2021-11-05,35.42,29.38,29.0,0.0,19.85,27.52,31.2,19.97,26.98,20.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2021-11-07,32.23,31.85,31.65,0.0,31.05,25.28,23.02,19.88,22.5,19.68,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0,0.0,0.0,0.0
