,Date,James Harden,Tyrese Maxey,Seth Curry,Tobias Harris,Joel Embiid,Matisse Thybulle,Georges Niang,Danny Green,Shake Milton,Furkan Korkmaz,Andre Drummond,DeAndre Jordan,Tyler Johnson,Paul Millsap,Isaiah Joe,Charlie Brown Jr.,Paul Reed,Charles Bassey,Myles Powell,Braxton Key,Willie Cauley-Stein,Jaden Springer,Aaron Henry,Grant Riller,Ben Simmons
0,2021-10-20,0.0,33.67,27.52,27.73,25.7,27.35,18.2,18.58,0.0,20.13,19.05,0.0,0.0,0.0,12.62,0.0,3.25,2.07,0.0,0.0,0.0,2.07,2.07,0.0,0.0
1,2021-10-22,0.0,36.25,35.6,36.98,29.72,23.42,13.47,22.18,0.0,20.28,18.28,0.0,0.0,0.0,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-10-24,0.0,34.05,34.4,32.9,33.28,20.02,20.38,27.98,0.0,16.95,0.0,0.0,0.0,0.0,10.6,0.0,9.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-10-26,0.0,30.2,29.65,33.27,30.42,19.53,22.05,23.9,0.0,24.97,14.38,0.0,0.0,0.0,7.0,0.0,3.2,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-10-28,0.0,31.05,31.97,36.17,30.97,15.92,15.68,28.98,16.37,18.48,14.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-10-30,0.0,25.12,28.5,31.3,29.72,23.05,17.9,22.78,18.9,18.03,13.07,0.0,0.0,0.0,4.5,0.0,3.98,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-11-01,0.0,30.3,34.3,0.0,0.0,26.8,31.18,19.02,19.72,24.8,33.57,0.0,0.0,0.0,10.92,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-11-03,0.0,37.0,34.47,0.0,34.08,38.2,31.8,0.0,19.83,26.0,13.92,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-11-04,0.0,44.68,36.7,0.0,30.03,30.37,31.6,0.0,33.78,0.0,17.97,0.0,0.0,0.0,0.0,0.0,14.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2021-11-06,0.0,44.22,33.23,0.0,34.03,0.0,25.02,0.0,35.52,32.43,13.97,0.0,0.0,0.0,0.0,0.0,21.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2021-11-08,0.0,39.27,40.7,0.0,0.0,0.0,24.88,30.1,21.97,39.82,38.4,0.0,0.0,0.0,0.0,0.0,4.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2021-11-09,0.0,39.0,0.0,0.0,0.0,0.0,24.4,28.63,41.6,44.97,33.1,0.0,0.0,0.0,0.0,0.0,23.53,4.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2021-11-11,0.0,39.68,36.0,36.73,0.0,0.0,21.3,18.47,17.43,26.52,30.42,0.0,0.0,0.0,0.0,0.0,13.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2021-11-13,0.0,42.93,33.15,34.77,0.0,0.0,26.05,21.87,21.65,17.7,30.78,0.0,0.0,0.0,0.0,0.0,7.13,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2021-11-16,0.0,28.88,24.93,27.43,0.0,0.0,29.68,0.0,35.28,34.27,12.3,0.0,0.0,0.0,23.53,0.0,14.23,9.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2021-12-01,0.0,32.9,35.65,31.88,33.23,22.25,19.38,21.12,22.38,6.4,14.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2021-11-18,0.0,34.82,37.68,31.42,0.0,0.0,34.75,0.0,28.97,21.53,28.7,0.0,0.0,0.0,2.83,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2021-12-03,0.0,32.63,33.43,0.0,36.13,24.47,29.15,33.85,21.85,16.62,11.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2021-11-20,0.0,35.18,32.63,36.2,0.0,21.12,34.82,0.0,16.05,21.32,22.85,0.0,0.0,0.0,5.42,0.0,0.0,14.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2021-12-06,0.0,0.0,40.9,40.83,40.67,19.58,16.85,30.27,35.47,16.55,12.33,0.0,0.0,0.0,11.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2021-11-22,0.0,35.02,0.0,0.0,0.0,32.8,38.68,0.0,36.32,27.87,31.2,0.0,0.0,0.0,17.3,0.0,5.98,14.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2021-12-08,0.0,26.08,34.65,34.33,32.53,21.42,15.2,26.58,21.92,11.82,15.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2021-11-24,0.0,33.12,33.35,0.0,0.0,33.25,25.55,17.0,23.63,22.33,27.2,0.0,0.0,0.0,14.83,0.0,2.17,7.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
