,Date,Damian Lillard,CJ McCollum,Norman Powell,Josh Hart,Robert Covington,Drew Eubanks,Anfernee Simons,Jusuf Nurkic,Justise Winslow,Brandon Williams,Nassir Little,Keon Johnson,Kris Dunn,Larry Nance Jr.,CJ Elleby,Ben McLemore,Reggie Perry,Trendon Watford,Didi Louzada,Dennis Smith Jr.,Cameron McGriff,Elijah Hughes,Tony Snell,Greg Brown III,Cody Zeller,Keljin Blevins,Jarron Cumberland,Eric Bledsoe
0,2021-10-20,40.25,35.2,35.17,0.0,30.92,0.0,17.65,28.75,0.0,0.0,15.78,0.0,0.0,17.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.13,0.0,0.0,0.0
1,2021-10-23,24.48,29.78,12.42,0.0,25.83,0.0,24.0,25.27,0.0,0.0,27.43,0.0,0.0,21.73,8.07,6.42,0.0,0.0,0.0,15.25,0.0,0.0,0.0,6.42,12.9,0.0,0.0,0.0
2,2021-10-25,27.83,32.42,0.0,0.0,23.67,0.0,20.45,23.43,0.0,0.0,31.83,0.0,0.0,18.35,8.83,10.88,0.0,0.0,0.0,20.4,0.0,0.0,0.0,8.83,13.05,0.0,0.0,0.0
3,2021-10-27,32.23,32.42,0.0,0.0,27.47,0.0,28.08,23.47,0.0,0.0,26.98,0.0,0.0,15.2,5.33,0.0,0.0,0.0,0.0,18.97,0.0,0.0,0.0,5.33,24.52,0.0,0.0,0.0
4,2021-10-29,34.15,32.38,23.87,0.0,33.15,0.0,23.85,22.77,0.0,0.0,24.13,0.0,0.0,16.22,3.08,0.0,0.0,0.0,0.0,3.08,0.0,0.0,0.0,3.08,20.23,0.0,0.0,0.0
5,2021-10-31,37.8,37.73,33.33,0.0,29.15,0.0,18.9,25.72,0.0,0.0,18.45,0.0,0.0,17.97,0.9,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.9,18.25,0.0,0.0,0.0
6,2021-11-01,35.92,39.58,29.35,0.0,19.03,0.0,29.33,28.05,0.0,0.0,20.38,0.0,0.0,17.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,0.0,10.92,0.0,0.0,0.0
7,2021-11-03,39.77,35.27,32.07,0.0,30.47,0.0,24.1,27.7,0.0,0.0,10.92,0.0,0.0,21.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.02,0.0,13.53,0.0,0.0,0.0
8,2021-11-05,37.93,40.92,32.27,0.0,33.57,0.0,21.27,23.07,0.0,0.0,15.73,0.0,0.0,17.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63,0.0,10.9,0.0,0.0,0.0
9,2021-11-06,30.8,24.38,27.37,0.0,32.47,0.0,23.38,21.65,0.0,0.0,15.2,0.0,0.0,16.95,5.43,5.43,0.0,0.0,0.0,12.0,0.0,0.0,8.05,5.43,11.45,0.0,0.0,0.0
10,2021-11-09,38.95,33.67,32.1,0.0,38.95,0.0,23.38,26.82,0.0,0.0,15.9,0.0,0.0,9.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.95,0.0,13.23,0.0,0.0,0.0
11,2021-11-10,38.05,40.2,28.6,0.0,23.25,0.0,20.87,19.37,0.0,0.0,22.27,0.0,0.0,26.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.22,0.0,12.65,0.0,0.0,0.0
12,2021-11-12,38.15,39.02,24.78,0.0,22.28,0.0,18.83,29.2,0.0,0.0,27.77,0.0,0.0,20.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,0.0,8.48,0.0,0.0,0.0
13,2021-11-14,0.0,30.38,28.65,0.0,18.98,0.0,27.58,21.35,0.0,0.0,29.3,0.0,0.0,20.25,6.73,6.73,0.0,6.73,0.0,23.38,0.0,0.0,11.92,0.0,8.0,0.0,0.0,0.0
14,2021-11-15,40.07,39.73,32.12,0.0,23.1,0.0,16.2,18.13,0.0,0.0,24.68,0.0,0.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.03,0.0,11.73,0.0,0.0,0.0
15,2021-11-17,40.3,37.87,35.0,0.0,24.03,0.0,17.8,22.58,0.0,0.0,24.0,0.0,0.0,24.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.73,0.0,4.02,0.0,0.0,0.0
16,2021-12-02,0.0,31.55,28.9,0.0,28.82,0.0,10.63,23.47,0.0,0.0,0.0,0.0,0.0,20.7,5.03,27.43,0.0,5.03,0.0,18.83,0.0,0.0,19.63,5.03,9.9,5.03,0.0,0.0
17,2021-11-20,37.02,36.85,29.43,0.0,28.98,0.0,22.27,23.02,0.0,0.0,21.62,0.0,0.0,22.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,0.0,8.17,0.0,0.0,0.0
18,2021-12-04,0.0,34.82,27.9,0.0,22.4,0.0,0.0,19.75,0.0,0.0,0.0,0.0,0.0,25.9,5.85,22.55,0.0,5.85,0.0,36.77,0.0,0.0,10.27,5.85,16.25,5.85,0.0,0.0
19,2021-12-06,0.0,0.0,43.93,0.0,30.03,0.0,0.0,30.05,0.0,0.0,0.0,0.0,0.0,31.97,9.42,7.7,0.0,0.0,0.0,38.58,0.0,0.0,31.85,0.0,16.47,0.0,0.0,0.0
20,2021-11-23,31.3,34.48,26.28,0.0,27.0,0.0,22.88,24.17,0.0,0.0,23.27,0.0,0.0,15.37,3.67,3.67,0.0,0.0,0.0,3.67,0.0,0.0,10.73,3.67,9.85,0.0,0.0,0.0
21,2021-12-08,0.0,0.0,42.73,0.0,35.12,0.0,0.0,27.78,0.0,0.0,25.5,0.0,0.0,22.87,6.1,25.15,0.0,0.0,0.0,41.9,0.0,0.0,12.83,0.0,0.0,0.0,0.0,0.0
22,2021-11-24,39.82,36.35,35.17,0.0,15.27,0.0,0.0,31.9,0.0,0.0,27.27,0.0,0.0,19.57,0.0,0.0,0.0,0.0,0.0,19.85,0.0,0.0,4.75,0.0,10.07,0.0,0.0,0.0
23,2021-11-26,38.0,39.15,25.53,0.0,30.5,0.0,28.88,23.88,0.0,0.0,19.95,0.0,0.0,24.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.98,0.0,0.0,0.0,0.0,0.0
24,2021-12-12,36.98,0.0,38.52,0.0,33.58,0.0,32.6,21.25,0.0,0.0,20.28,0.0,0.0,25.58,0.0,15.45,0.0,7.43,0.0,3.7,0.0,0.0,4.62,0.0,0.0,0.0,0.0,0.0
25,2021-11-29,31.15,37.7,0.0,0.0,19.13,0.0,29.23,26.88,0.0,0.0,26.65,0.0,0.0,17.47,3.6,3.6,0.0,3.6,0.0,3.6,0.0,0.0,16.27,3.6,17.52,0.0,0.0,0.0
