,Date,De'Aaron Fox,Tyrese Haliburton,Harrison Barnes,Domantas Sabonis,Buddy Hield,Davion Mitchell,Donte DiVincenzo,Justin Holiday,Richaun Holmes,Trey Lyles,Marvin Bagley III,Chimezie Metu,Jeremy Lamb,Maurice Harkless,Damian Jones,Terence Davis,Alex Len,Tristan Thompson,Louis King,Josh Jackson,Neemias Queta,Jahmi'us Ramsey,Emmanuel Mudiay,Justin Robinson,Robert Woodard II,Ade Murkey
0,2021-10-20,36.12,28.6,36.9,0.0,30.87,24.43,0.0,0.0,29.13,0.0,0.0,0.0,0.0,22.02,0.0,13.12,0.0,18.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-10-22,35.17,35.02,37.55,0.0,26.05,31.57,0.0,0.0,17.83,0.0,10.45,0.0,0.0,0.0,0.0,19.52,22.58,4.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-10-24,34.03,29.87,36.02,0.0,25.05,32.03,0.0,0.0,31.65,0.0,0.0,0.0,0.0,22.58,0.0,12.42,0.0,16.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-10-27,36.75,34.98,38.7,0.0,27.43,19.23,0.0,0.0,29.2,0.0,0.0,0.0,0.0,24.73,0.0,10.63,18.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-10-29,36.73,31.37,36.82,0.0,29.67,29.28,0.0,0.0,31.8,0.0,0.0,0.0,0.0,24.08,0.0,4.03,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-10-31,39.33,33.35,38.1,0.0,30.23,25.67,0.0,0.0,26.58,0.0,0.0,0.0,0.0,16.65,0.0,8.67,0.0,21.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-11-02,35.42,31.67,35.2,0.0,30.33,29.6,0.0,0.0,32.68,0.0,0.0,0.0,0.0,29.77,0.0,0.0,15.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-11-03,37.82,36.6,38.78,0.0,22.95,26.07,0.0,0.0,16.38,0.0,0.0,0.0,0.0,32.42,0.0,0.0,20.65,8.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-11-05,29.03,30.62,36.52,0.0,30.05,24.83,0.0,0.0,33.25,0.0,0.0,2.58,0.0,21.45,1.93,16.92,0.0,12.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2021-11-07,34.77,33.67,37.77,0.0,31.88,28.35,0.0,0.0,27.57,0.0,0.0,0.0,0.0,20.75,0.0,5.02,20.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
