,Date,Dejounte Murray,Keldon Johnson,Derrick White,Jakob Poeltl,Devin Vassell,Josh Richardson,Doug McDermott,Lonnie Walker IV,Joshua Primo,Zach Collins,Tyler Johnson,Bryn Forbes,Tre Jones,Keita Bates-Diop,Thaddeus Young,Drew Eubanks,Jock Landale,Romeo Langford,Juancho Hernangomez,Tomas Satoransky,Devontae Cacok,Joe Wieskamp,Jaylen Morris,Anthony Lamb,Robert Woodard II,D. J. Stewart Jr.
0,2021-10-20,30.88,27.65,29.97,29.82,25.12,0.0,22.45,25.42,4.9,0.0,0.0,6.28,8.0,11.33,0.0,13.78,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-10-22,34.88,37.4,36.73,26.17,20.22,0.0,30.97,20.25,0.0,0.0,0.0,10.33,1.22,0.0,9.13,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-10-23,34.42,29.48,31.25,34.58,19.1,0.0,32.45,24.93,0.8,0.0,0.0,14.07,4.7,0.8,0.0,12.62,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-10-26,40.17,23.43,31.75,37.6,35.28,0.0,17.3,31.38,0.0,0.0,0.0,3.23,0.0,29.45,3.27,12.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-10-28,35.6,27.35,32.87,35.8,27.27,0.0,0.0,27.08,0.0,0.0,0.0,19.87,7.23,14.73,0.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-10-30,36.67,31.18,33.45,23.33,24.0,0.0,0.0,19.78,0.0,0.0,0.0,24.62,5.53,16.77,15.23,9.13,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-11-01,26.27,23.1,26.53,22.02,27.23,0.0,0.0,26.6,0.0,0.0,0.0,19.28,18.15,24.83,15.32,5.33,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-11-03,34.43,30.87,36.23,0.0,30.53,0.0,25.8,22.52,0.0,0.0,0.0,11.1,2.25,4.67,22.23,19.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-11-05,36.0,33.27,33.18,0.0,25.52,0.0,25.5,15.93,0.0,0.0,0.0,3.22,4.65,14.73,26.32,21.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2021-11-07,35.47,37.77,26.55,0.0,24.78,0.0,18.93,27.13,0.0,0.0,0.0,6.95,8.0,6.78,25.43,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2021-11-10,32.0,31.62,29.68,0.0,24.93,0.0,26.68,22.38,3.23,0.0,0.0,12.85,5.38,0.0,23.57,24.43,0.0,0.0,0.0,0.0,0.0,3.23,0.0,0.0,0.0,0.0
11,2021-11-12,31.27,29.33,22.13,0.0,29.75,0.0,24.18,23.98,0.0,0.0,0.0,17.03,14.32,0.0,24.08,23.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
