,Date,Fred VanVleet,Pascal Siakam,OG Anunoby,Scottie Barnes,Gary Trent Jr.,Juwan Morgan,Precious Achiuwa,Chris Boucher,Tremont Waters,Thaddeus Young,Goran Dragic,Khem Birch,D.J. Wilson,Svi Mykhailiuk,Malachi Flynn,Armoni Brooks,Yuta Watanabe,Dalano Banton,Daniel Oturu,Justin Champagnie,Isaac Bonga,David Johnson,Sam Dekker
0,2021-10-20,34.72,0.0,33.98,32.53,26.45,0.0,18.5,17.48,0.0,0.0,21.65,26.0,0.0,16.22,0.0,0.0,0.0,12.42,0.0,0.0,0.0,0.0,0.0
1,2021-10-22,36.97,0.0,33.9,35.48,31.55,0.0,24.83,19.65,0.0,0.0,11.67,20.87,0.0,14.08,2.9,0.0,0.0,2.9,0.0,2.9,2.3,0.0,0.0
2,2021-10-23,38.88,0.0,31.88,29.57,35.67,0.0,33.35,8.02,0.0,0.0,14.47,17.65,0.0,18.72,0.0,0.0,0.0,8.33,0.0,0.0,3.47,0.0,0.0
3,2021-10-25,42.73,0.0,38.43,39.02,36.13,0.0,28.65,4.85,0.0,0.0,13.77,18.5,0.0,12.73,0.0,0.0,0.0,5.18,0.0,0.0,0.0,0.0,0.0
4,2021-10-27,36.72,0.0,34.3,36.12,34.65,0.0,27.5,17.83,0.0,0.0,0.0,19.6,0.0,10.77,2.02,0.0,0.0,16.22,0.0,2.02,0.9,0.47,0.9
5,2021-10-29,39.5,0.0,40.55,36.78,31.93,0.0,21.43,17.65,0.0,0.0,0.0,23.23,0.0,6.12,0.0,0.0,0.0,22.8,0.0,0.0,0.0,0.0,0.0
6,2021-10-30,39.17,0.0,37.6,34.73,23.38,0.0,16.7,18.32,0.0,0.0,0.0,28.98,0.0,21.72,2.82,0.0,0.0,16.58,0.0,0.0,0.0,0.0,0.0
7,2021-11-01,37.15,0.0,41.02,0.0,42.93,0.0,16.8,9.85,0.0,0.0,0.0,31.2,0.0,34.8,10.93,0.0,0.0,8.52,0.0,6.8,0.0,0.0,0.0
8,2021-11-03,43.03,0.0,39.98,0.0,34.03,0.0,26.12,17.17,0.0,0.0,0.0,21.88,0.0,34.6,2.6,0.0,0.0,17.17,0.0,3.42,0.0,0.0,0.0
9,2021-11-05,37.0,0.0,36.8,38.35,37.02,0.0,18.22,7.02,0.0,0.0,0.0,29.62,0.0,19.02,7.4,0.0,0.0,9.52,0.0,0.0,0.0,0.0,0.0
10,2021-11-07,40.83,25.05,38.22,30.6,36.22,0.0,27.25,8.5,0.0,0.0,0.0,0.0,0.0,21.07,0.0,0.0,0.0,12.27,0.0,0.0,0.0,0.0,0.0
11,2021-11-10,35.53,29.88,36.02,31.9,34.93,0.0,24.55,6.82,0.0,0.0,0.0,0.0,0.0,19.17,5.73,0.0,0.0,13.97,0.0,1.5,0.0,0.0,0.0
12,2021-11-11,40.15,0.0,38.9,39.02,36.1,0.0,29.72,24.07,0.0,0.0,0.0,0.0,0.0,15.92,0.0,0.0,0.0,16.13,0.0,0.0,0.0,0.0,0.0
13,2021-11-13,0.0,34.63,37.55,38.12,38.27,0.0,0.0,11.62,0.0,0.0,28.17,16.32,0.0,12.07,4.37,0.0,0.0,18.9,0.0,0.0,0.0,0.0,0.0
14,2021-11-15,40.08,39.4,40.73,39.5,39.57,0.0,0.0,0.0,0.0,0.0,0.0,21.27,0.0,8.43,2.6,0.0,0.0,8.42,0.0,0.0,0.0,0.0,0.0
15,2021-11-18,34.45,30.92,0.0,35.13,33.02,0.0,0.0,17.48,0.0,0.0,0.0,24.42,0.0,17.68,22.47,0.0,0.0,16.57,0.0,7.87,0.0,0.0,0.0
16,2021-12-02,38.73,35.32,0.0,38.8,34.9,0.0,34.5,11.5,0.0,0.0,0.0,0.0,0.0,18.53,0.0,0.0,10.43,13.97,0.0,0.0,3.27,0.0,0.0
17,2021-11-19,31.87,30.3,0.0,33.15,36.37,0.0,24.97,23.75,0.0,0.0,0.0,22.95,0.0,19.58,3.25,0.0,0.0,10.95,0.0,2.87,0.0,0.0,0.0
18,2021-11-21,38.97,34.22,0.0,28.28,28.65,0.0,26.23,13.57,0.0,0.0,0.0,21.77,0.0,20.17,7.97,0.0,0.0,20.18,0.0,0.0,0.0,0.0,0.0
19,2021-12-05,33.22,36.03,0.0,36.9,30.42,0.0,30.52,18.17,0.0,0.0,0.0,0.0,0.0,15.83,1.52,0.0,17.37,15.47,0.0,1.52,1.52,1.52,0.0
20,2021-12-08,39.25,38.18,0.0,38.88,38.72,0.0,0.0,22.25,0.0,0.0,0.0,0.0,0.0,7.05,0.0,0.0,18.93,10.98,0.0,12.0,13.75,0.0,0.0
21,2021-11-24,36.97,33.28,0.0,39.08,39.43,0.0,27.6,6.77,0.0,0.0,0.0,0.0,0.0,17.82,11.5,0.0,13.77,13.78,0.0,0.0,0.0,0.0,0.0
22,2021-11-26,38.0,36.68,0.0,35.48,31.68,0.0,33.45,14.2,0.0,0.0,0.0,0.0,0.0,17.28,13.67,0.0,0.0,16.58,0.0,1.48,1.48,0.0,0.0
23,2021-12-10,37.95,39.47,0.0,41.27,39.07,0.0,0.0,27.13,0.0,0.0,0.0,0.0,0.0,16.22,5.13,0.0,17.43,7.3,0.0,9.03,0.0,0.0,0.0
24,2021-11-28,39.8,37.92,0.0,37.28,0.0,0.0,36.47,0.0,0.0,0.0,0.0,0.0,0.0,37.85,15.35,0.0,13.53,2.98,0.0,7.45,11.32,0.0,0.0
25,2021-12-13,26.37,29.7,0.0,32.02,30.95,0.0,0.0,22.25,0.0,0.0,0.0,0.0,0.0,20.15,14.32,0.0,25.93,8.63,0.0,24.93,4.75,0.0,0.0
26,2021-12-14,47.23,44.25,0.0,44.07,42.03,0.0,0.0,32.07,0.0,0.0,0.0,0.0,0.0,9.37,7.37,0.0,27.4,0.0,0.0,11.22,0.0,0.0,0.0
27,2021-11-30,41.82,30.38,0.0,37.83,0.0,0.0,29.1,6.8,0.0,0.0,0.0,0.0,0.0,17.72,21.63,0.0,28.68,14.9,0.0,0.0,11.1,0.0,0.0
28,2021-12-18,33.12,0.0,27.98,32.78,28.75,0.0,22.52,23.38,0.0,0.0,0.0,0.0,0.0,16.55,14.7,0.0,21.15,0.0,0.0,13.97,5.1,0.0,0.0
29,2021-12-26,0.0,0.0,0.0,0.0,0.0,27.35,0.0,28.05,34.92,0.0,0.0,0.0,33.73,35.6,0.0,0.0,37.17,23.53,19.62,0.0,0.0,0.0,0.0
30,2021-12-28,0.0,41.82,0.0,0.0,41.27,0.0,0.0,37.73,6.9,0.0,0.0,0.0,13.02,29.42,32.3,0.0,31.47,0.0,6.05,0.0,0.0,0.0,0.0
31,2021-12-31,39.07,40.32,35.92,0.0,30.68,0.0,8.83,22.87,0.0,0.0,0.0,19.43,0.0,12.12,4.85,0.0,13.37,2.68,0.0,9.87,0.0,0.0,0.0
32,2022-01-02,30.82,34.88,30.28,29.6,19.65,0.0,18.28,21.43,0.0,0.0,0.0,18.7,0.0,9.85,4.93,0.0,10.1,4.93,1.6,4.93,0.0,0.0,0.0
33,2022-01-04,32.08,27.55,30.72,32.82,31.77,0.0,18.73,19.35,0.0,0.0,0.0,18.7,0.0,0.0,5.55,0.0,0.0,5.55,0.0,13.0,4.18,0.0,0.0
34,2022-01-05,38.83,41.83,35.08,37.85,31.08,0.0,16.0,14.58,0.0,0.0,0.0,13.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.95,0.0,0.0,0.0
35,2022-01-07,35.77,38.78,33.77,30.7,34.77,0.0,17.68,20.15,0.0,0.0,0.0,17.43,0.88,2.02,2.02,0.0,0.0,2.02,0.0,4.02,0.0,0.0,0.0
36,2022-01-09,39.18,42.52,34.62,33.32,0.0,0.0,27.05,28.07,0.0,0.0,0.0,20.95,0.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2022-01-11,43.68,39.38,39.48,0.0,0.0,0.0,21.85,37.1,0.0,0.0,0.0,26.15,0.0,7.08,0.0,0.0,15.02,0.0,0.0,10.25,0.0,0.0,0.0
38,2022-01-14,42.28,40.53,36.85,33.07,0.0,0.0,24.78,24.58,0.0,0.0,0.0,3.67,0.0,6.68,1.27,0.0,8.18,5.92,0.0,12.17,0.0,0.0,0.0
39,2022-01-15,41.65,40.07,39.13,0.0,0.0,0.0,39.42,36.43,0.0,0.0,0.0,0.0,0.0,7.42,0.0,0.0,5.33,0.0,0.0,30.5,0.0,0.0,0.0
40,2022-01-17,40.67,42.05,33.8,39.25,0.0,0.0,36.93,38.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.12,0.0,0.0,0.0
41,2022-01-19,41.62,43.52,43.23,28.35,0.0,0.0,33.13,33.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.47,0.0,0.0,0.0
42,2022-01-21,39.02,41.38,41.47,39.72,29.08,0.0,19.18,22.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.78,0.0,0.0,2.03,0.0,0.0,0.0
43,2022-01-23,41.63,34.05,41.57,33.8,28.38,0.0,14.82,24.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,11.53,0.0,8.32,0.0,0.0,0.0
44,2022-01-25,0.0,39.4,35.72,0.0,34.82,0.0,24.68,30.23,0.0,0.0,0.0,0.0,0.0,3.12,25.93,0.0,22.27,17.08,0.0,3.63,3.12,0.0,0.0
45,2022-01-26,0.0,43.43,33.97,37.72,36.68,0.0,22.75,28.72,0.0,0.0,0.0,0.0,0.0,0.0,8.25,0.0,4.73,23.75,0.0,0.0,0.0,0.0,0.0
46,2022-01-29,53.52,56.52,55.82,56.33,55.65,0.0,15.97,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0
47,2022-01-31,39.02,40.62,35.77,35.82,40.78,0.0,17.5,20.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.13,0.0,3.45,0.0,0.0,0.0
48,2022-02-01,38.48,34.83,35.53,41.62,40.58,0.0,19.02,17.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.68,0.0,4.7,0.0,0.0,0.0
