,Date,Donovan Mitchell,Rudy Gobert,Royce O'Neale,Bojan Bogdanovic,Mike Conley,Jordan Clarkson,Joe Ingles,Danuel House Jr.,Rudy Gay,Hassan Whiteside,Juancho Hernangomez,Trent Forrest,Eric Paschall,Udoka Azubuike,Nickeil Alexander-Walker,Denzel Valentine,Greg Monroe,Jared Butler,Elijah Hughes,Norvel Pelle,Malik Fitts,Zylan Cheatham,Xavier Sneed,Miye Oni,Bojan Bogdanović,Juancho Hernangómez
0,2021-10-20,28.47,29.48,28.07,0.0,25.15,26.67,26.08,0.0,0.0,18.52,0.0,0.0,14.22,0.0,0.0,0.0,0.0,8.75,3.23,0.0,1.58,0.0,0.0,1.58,28.2,0.0
1,2021-10-22,37.27,32.22,32.35,0.0,31.43,23.52,5.73,0.0,0.0,15.78,0.0,7.35,14.72,0.0,0.0,0.0,0.0,2.18,0.0,0.0,0.0,0.0,0.0,3.8,33.65,0.0
2,2021-10-26,34.32,33.23,30.78,0.0,30.33,23.83,27.63,0.0,0.0,14.77,0.0,0.0,14.35,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0,28.92,0.0
3,2021-10-28,23.52,27.98,23.52,0.0,23.72,23.87,26.03,0.0,0.0,16.68,0.0,6.18,21.17,0.0,0.0,0.0,0.0,14.22,4.7,0.0,3.33,0.0,0.0,0.0,25.08,0.0
4,2021-10-30,35.37,32.22,34.8,0.0,0.0,29.32,31.88,0.0,0.0,15.78,0.0,3.45,15.87,0.0,0.0,0.0,0.0,9.18,0.0,0.0,0.0,0.0,0.0,0.0,32.13,0.0
5,2021-10-31,32.62,30.93,31.33,0.0,30.13,25.73,22.53,0.0,0.0,17.07,0.0,0.0,15.28,0.0,0.0,0.0,0.0,3.05,0.0,0.0,0.0,0.0,0.0,0.0,31.32,0.0
6,2021-11-02,32.3,32.68,30.02,0.0,30.83,22.5,26.17,0.0,0.0,15.32,0.0,0.0,16.13,0.0,0.0,0.0,0.0,3.13,0.0,0.0,0.0,0.0,0.0,0.0,30.9,0.0
7,2021-11-04,0.0,32.67,34.25,0.0,29.38,31.15,27.72,0.0,0.0,13.22,0.0,18.58,13.95,0.0,0.0,0.0,0.0,2.12,2.12,0.0,2.12,0.0,0.0,2.12,30.62,0.0
8,2021-11-06,36.72,28.9,32.42,0.0,32.33,17.95,26.67,0.0,0.0,18.93,0.0,0.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.78,0.0
9,2021-11-07,32.68,33.83,34.13,0.0,0.0,27.57,34.43,0.0,0.0,14.17,0.0,15.32,15.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.98,0.0
10,2021-11-09,32.4,24.48,32.57,0.0,29.15,24.77,21.23,0.0,0.0,22.6,0.0,4.47,14.7,0.92,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.92,30.88,0.0
11,2021-11-11,32.82,30.95,32.3,0.0,26.7,24.12,26.37,0.0,0.0,16.17,0.0,3.43,12.37,0.87,0.0,0.0,0.0,0.87,0.87,0.0,0.0,0.0,0.0,0.87,31.23,0.0
12,2021-11-13,37.12,34.92,34.73,0.0,27.0,32.4,23.22,0.0,0.0,12.92,0.0,0.0,9.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.42,0.0
13,2021-11-16,22.08,28.13,26.97,0.0,24.68,21.65,26.13,0.0,0.0,16.58,0.0,13.5,18.83,3.28,0.0,0.0,0.0,5.42,0.0,0.0,0.0,0.0,0.0,5.42,27.32,0.0
14,2021-11-18,29.48,29.32,28.7,0.0,28.4,22.07,23.77,0.0,18.45,15.88,0.0,7.6,2.8,2.8,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,2.8,25.13,0.0
15,2021-12-03,32.73,35.38,32.22,0.0,31.77,21.3,22.47,0.0,17.37,12.62,0.0,3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.63,0.0
16,2021-11-20,31.98,30.3,29.17,0.0,26.38,23.77,23.48,0.0,17.07,17.7,0.0,5.68,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,30.93,0.0
17,2021-12-05,39.23,38.18,37.32,0.0,30.27,21.98,20.58,0.0,19.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.67,0.0
18,2021-11-22,35.52,32.87,29.62,0.0,30.17,22.95,24.12,0.0,18.28,15.13,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.72,0.0
19,2021-11-24,35.72,39.17,31.42,0.0,29.43,24.33,21.73,0.0,16.47,2.9,0.0,2.38,5.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.52,0.0
20,2021-12-08,33.52,30.58,29.27,0.0,23.65,23.85,25.17,0.0,22.55,0.0,0.0,8.75,4.37,0.0,0.0,0.0,0.0,3.4,0.0,0.0,3.4,0.0,0.0,3.4,28.1,0.0
21,2021-12-09,29.35,29.37,28.08,0.0,24.97,27.88,24.23,0.0,17.87,15.32,0.0,6.98,3.32,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.5,27.63,0.0
22,2021-11-26,33.88,36.62,31.97,0.0,31.07,22.47,22.65,0.0,16.03,11.38,0.0,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.17,0.0
23,2021-12-11,31.97,28.37,27.08,0.0,25.75,24.6,22.3,0.0,18.37,19.63,0.0,6.6,2.85,0.0,0.0,0.0,0.0,2.85,0.0,0.0,0.0,0.0,0.0,2.85,26.78,0.0
24,2021-11-27,27.47,27.17,0.0,0.0,23.53,25.77,26.68,0.0,23.43,17.65,0.0,13.1,8.28,0.0,0.0,0.0,0.0,7.8,3.37,0.0,0.0,0.0,0.0,8.28,27.47,0.0
25,2021-11-29,32.43,31.93,0.0,0.0,25.97,30.25,28.78,0.0,22.38,13.8,0.0,12.95,2.27,0.0,0.0,0.0,0.0,2.27,2.27,0.0,0.0,0.0,0.0,2.27,32.43,0.0
26,2021-12-15,31.52,27.28,26.85,0.0,23.63,28.83,26.08,0.0,18.87,20.72,0.0,4.8,3.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,25.32,0.0
27,2021-12-17,30.57,32.97,28.88,0.0,31.22,25.92,25.42,0.0,20.93,13.2,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.92,0.0
28,2021-12-18,36.73,37.75,33.83,0.0,0.0,29.02,29.17,0.0,20.05,10.17,0.0,11.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.02,0.0
29,2021-12-20,34.18,36.12,30.38,0.0,30.35,21.62,26.43,0.0,17.62,11.88,0.0,2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.98,0.0
30,2021-12-23,37.52,35.0,29.5,0.0,28.4,23.68,23.0,0.0,18.5,13.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,0.0
