,Date,Bradley Beal,Kyle Kuzma,Kentavious Caldwell-Pope,Spencer Dinwiddie,Kristaps Porzingis,Brad Wanamaker,Montrezl Harrell,Deni Avdija,Corey Kispert,Rui Hachimura,Ish Smith,Daniel Gafford,Raul Neto,Tomas Satoransky,Thomas Bryant,Aaron Holiday,Davis Bertans,Anthony Gill,Greg Monroe,Vernon Carey Jr.,Tremont Waters,Jordan Schakel,Craig Sword,Isaiah Todd,Alize Johnson,Cassius Winston,Jordan Goodwin,Jaime Echenique,Joel Ayayi,Dāvis Bertāns,Kristaps Porziņģis,Tomáš Satoranský
0,2021-10-20,34.1,34.63,27.13,26.15,0.0,0.0,25.9,20.87,0.0,0.0,0.0,22.1,22.93,0.0,0.0,12.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.35,0.0,0.0
1,2021-10-22,0.0,38.55,34.97,34.72,0.0,0.0,34.25,16.72,10.02,0.0,0.0,18.2,29.48,0.0,0.0,25.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.02,0.0,0.0
2,2021-10-25,31.75,26.93,24.67,25.67,0.0,0.0,21.32,19.17,4.5,0.0,0.0,22.7,16.18,0.0,0.0,18.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,3.5,20.8,0.0,0.0
3,2021-10-27,35.25,33.07,31.1,29.52,0.0,0.0,38.2,16.9,12.47,0.0,0.0,7.13,0.0,0.0,0.0,18.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0
4,2021-10-28,37.72,39.83,29.95,0.0,0.0,0.0,34.0,22.47,9.08,0.0,0.0,0.0,23.82,0.0,0.0,24.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.78,0.0,0.0
5,2021-10-30,46.17,47.95,41.4,39.78,0.0,0.0,35.07,24.13,3.83,0.0,0.0,0.0,18.47,0.0,0.0,11.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.62,0.0,0.0
6,2021-11-01,34.25,33.62,30.13,28.7,0.0,0.0,33.48,17.87,11.35,0.0,0.0,14.52,19.3,0.0,0.0,13.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,0.0,0.0
7,2021-11-03,38.58,21.37,33.77,30.37,0.0,0.0,27.48,25.57,15.67,0.0,0.0,20.5,21.57,0.0,0.0,5.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-11-05,27.3,24.98,26.02,22.25,0.0,0.0,24.62,28.33,16.67,0.0,0.0,23.38,25.75,0.0,0.0,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2021-11-07,37.38,29.72,25.77,26.47,0.0,0.0,26.08,27.38,11.77,0.0,0.0,21.65,22.35,0.0,0.0,11.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2021-11-10,37.35,34.78,28.48,30.25,0.0,0.0,25.68,15.55,14.43,0.0,0.0,22.12,17.8,0.0,0.0,13.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2021-11-13,0.0,34.65,31.62,31.33,0.0,0.0,20.93,18.25,15.72,0.0,0.0,26.53,16.67,0.0,0.0,34.57,0.0,9.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
